Year,SERIES,UNIT_MEASURE,Deviation Level,Value
2017,Lake water quality trophic state (%),PT,Extreme (75-100%),0.0
2018,Lake water quality trophic state (%),PT,Extreme (75-100%),0.0
2019,Lake water quality trophic state (%),PT,Extreme (75-100%),0.00735
2017,Lake water quality trophic state (%),PT,High (50-75%),0.37914
2018,Lake water quality trophic state (%),PT,High (50-75%),0.17123
2019,Lake water quality trophic state (%),PT,High (50-75%),0.2425
2017,Lake water quality trophic state (%),PT,Low (0-25%),87.37409
2018,Lake water quality trophic state (%),PT,Low (0-25%),96.89573
2019,Lake water quality trophic state (%),PT,Low (0-25%),96.47529
2017,Lake water quality trophic state (%),PT,Medium (25-50%),12.24677
2018,Lake water quality trophic state (%),PT,Medium (25-50%),2.93304
2019,Lake water quality trophic state (%),PT,Medium (25-50%),3.27486
2017,Lake water quality turbidity (%),PT,Extreme (75-100%),36.68313
2018,Lake water quality turbidity (%),PT,Extreme (75-100%),13.28185
2019,Lake water quality turbidity (%),PT,Extreme (75-100%),22.93294
2017,Lake water quality turbidity (%),PT,High (50-75%),11.47945
2018,Lake water quality turbidity (%),PT,High (50-75%),9.6747
2019,Lake water quality turbidity (%),PT,High (50-75%),22.7296
2017,Lake water quality turbidity (%),PT,Low (0-25%),45.97859
2018,Lake water quality turbidity (%),PT,Low (0-25%),59.27442
2019,Lake water quality turbidity (%),PT,Low (0-25%),35.41258
2017,Lake water quality turbidity (%),PT,Medium (25-50%),5.85881
2018,Lake water quality turbidity (%),PT,Medium (25-50%),17.76903
2019,Lake water quality turbidity (%),PT,Medium (25-50%),18.92488
2000,Lakes and rivers permanent water area (% of total land area),PT,,0.00037
2001,Lakes and rivers permanent water area (% of total land area),PT,,0.00072
2002,Lakes and rivers permanent water area (% of total land area),PT,,0.00112
2003,Lakes and rivers permanent water area (% of total land area),PT,,0.00151
2004,Lakes and rivers permanent water area (% of total land area),PT,,0.00184
2005,Lakes and rivers permanent water area (% of total land area),PT,,0.00183
2006,Lakes and rivers permanent water area (% of total land area),PT,,0.00187
2007,Lakes and rivers permanent water area (% of total land area),PT,,0.00187
2008,Lakes and rivers permanent water area (% of total land area),PT,,0.00183
2009,Lakes and rivers permanent water area (% of total land area),PT,,0.00184
2010,Lakes and rivers permanent water area (% of total land area),PT,,0.00183
2011,Lakes and rivers permanent water area (% of total land area),PT,,0.0018
2012,Lakes and rivers permanent water area (% of total land area),PT,,0.00177
2013,Lakes and rivers permanent water area (% of total land area),PT,,0.00176
2014,Lakes and rivers permanent water area (% of total land area),PT,,0.0018
2015,Lakes and rivers permanent water area (% of total land area),PT,,0.00185
2016,Lakes and rivers permanent water area (% of total land area),PT,,0.00188
2017,Lakes and rivers permanent water area (% of total land area),PT,,0.00191
2018,Lakes and rivers permanent water area (% of total land area),PT,,0.00195
2019,Lakes and rivers permanent water area (% of total land area),PT,,0.00197
2020,Lakes and rivers permanent water area (% of total land area),PT,,0.00194
2000,Lakes and rivers permanent water area (square kilometres),KM2,,18.9211
2001,Lakes and rivers permanent water area (square kilometres),KM2,,37.08134
2002,Lakes and rivers permanent water area (square kilometres),KM2,,57.09037
2003,Lakes and rivers permanent water area (square kilometres),KM2,,77.13374
2004,Lakes and rivers permanent water area (square kilometres),KM2,,94.01254
2005,Lakes and rivers permanent water area (square kilometres),KM2,,93.9408
2006,Lakes and rivers permanent water area (square kilometres),KM2,,95.99758
2007,Lakes and rivers permanent water area (square kilometres),KM2,,95.83309
2008,Lakes and rivers permanent water area (square kilometres),KM2,,93.65994
2009,Lakes and rivers permanent water area (square kilometres),KM2,,94.04692
2010,Lakes and rivers permanent water area (square kilometres),KM2,,93.58104
2011,Lakes and rivers permanent water area (square kilometres),KM2,,92.20307
2012,Lakes and rivers permanent water area (square kilometres),KM2,,90.77127
2013,Lakes and rivers permanent water area (square kilometres),KM2,,90.25489
2014,Lakes and rivers permanent water area (square kilometres),KM2,,92.19039
2015,Lakes and rivers permanent water area (square kilometres),KM2,,94.6941
