Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2000,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,0.0
2001,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,6.73
2002,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,0.31
2003,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,0.0
2004,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,7.3
2005,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,0.0
2006,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,12.48
2007,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,0.29
2008,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,23.44
2009,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,0.11
2010,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,96.84
2011,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,67.42
2012,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,0.95
2013,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,97.38
2014,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,164.58
2015,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,6.52
2016,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,3.72
2017,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,83.19
2018,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,1.34
2019,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,20.76
2020,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,3.72
2021,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,ALL,0.44
2000,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.0
2001,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.0
2002,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.0
2003,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.0
2004,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.0
2005,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.0
2006,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.0
2007,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.29
2008,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.0
2009,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.0
2010,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.0
2011,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.89
2012,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.69
2013,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.76
2014,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.08
2015,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,1.09
2016,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,0.18
2017,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2020 United States dollars)",Millions of constant United States dollars,BIOENERGY,10.31
