Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2000,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,362.51996
2001,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,360.81406
2002,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,360.07624
2003,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,360.917
2004,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,371.45734
2005,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,375.51633
2006,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,378.58652
2007,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,383.28868
2008,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,397.43699
2009,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,404.37714
2010,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,445.64436
2011,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,454.4775
2012,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,463.62523
2013,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,471.74647
2014,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,482.08035
2015,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,490.3774
2016,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,511.27511
2017,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,527.40382
2018,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,556.832
2019,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,577.00821
2020,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,591.87131
2021,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,628.21523
2022,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,All renewables,650.95753
2000,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2001,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2002,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2003,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2004,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2005,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2006,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2007,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2008,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2009,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2010,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2011,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2012,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2013,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2014,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2015,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.0
2016,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.28794
2017,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.29166
2018,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.36611
2019,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.66058
2020,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,0.63952
2021,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,3.14647
2022,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Bioenergy,3.37306
2000,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2001,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2002,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2003,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2004,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2005,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2006,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2007,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2008,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2009,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2010,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2011,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2012,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2013,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2014,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2015,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2016,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2017,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2018,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2019,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2020,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2021,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2022,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Geothermal energy,0.0
2000,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,362.51996
2001,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,360.81406
2002,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,360.07624
2003,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,360.89307
2004,Installed renewable electricity-generating capacity (watts per capita),Watts per capita,Hydropower,371.40904
