Year,SERIES,UNIT_MEASURE,Sex,Occupation,Value
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,All occupations,3.9
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,All occupations,3.9
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,All occupations,3.9
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,All occupations,1.0
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,All occupations,4.2
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,All occupations,4.1
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,All occupations,4.1
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,All occupations,4.2
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,All occupations,4.3
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,All occupations,4.6
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Armed forces occupations,5.0
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Armed forces occupations,5.1
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Armed forces occupations,4.7
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Armed forces occupations,4.6
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Armed forces occupations,5.4
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Armed forces occupations,4.6
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Armed forces occupations,5.3
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Armed forces occupations,5.0
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Armed forces occupations,5.7
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Armed forces occupations,5.3
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Managers,6.2
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Managers,6.9
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Managers,6.8
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Managers,7.5
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Managers,7.3
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Managers,7.5
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Managers,7.5
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Managers,6.6
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Managers,6.7
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Managers,8.6
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Professionals,6.2
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Professionals,5.9
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Professionals,5.8
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Professionals,6.1
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Professionals,6.2
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Professionals,6.4
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Professionals,5.9
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Professionals,6.1
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Professionals,6.2
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Professionals,8.6
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Technicians and associate professionals,4.3
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Technicians and associate professionals,4.3
2012,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Technicians and associate professionals,4.4
2013,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Technicians and associate professionals,4.6
2014,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Technicians and associate professionals,4.6
2015,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Technicians and associate professionals,4.6
2016,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Technicians and associate professionals,4.5
2017,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Technicians and associate professionals,4.7
2018,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Technicians and associate professionals,4.8
2019,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Technicians and associate professionals,5.0
2010,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Clerical support workers,3.6
2011,Average hourly earnings of employees by sex and occupation (local currency),in BAM,Both sexes or no breakdown by sex,Clerical support workers,4.2
