Year,SERIES,UNIT_MEASURE,Sex,AGE,Value
2006,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,34.7
2007,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,31.3
2008,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,26.4
2009,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,25.5
2010,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,28.3
2011,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,27.8
2012,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,28.5
2013,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,26.0
2014,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,26.3
2015,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,28.1
2016,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,27.0
2017,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,24.5
2018,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,22.1
2019,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,21.2
2020,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,21.8
2021,Manufacturing employment as a proportion of total employment - 13th ICLS(%),Percent,Both sexes or no breakdown by sex,Y15T24,19.3
