Year,UNIT_MEASURE,Type,Value
a)January 2019,CUR_NAC,Average monthly gross earning,1408
b)February 2019,CUR_NAC,Average monthly gross earning,1378
c)March 2019,CUR_NAC,Average monthly gross earning,1397
d)April 2019,CUR_NAC,Average monthly gross earning,1413
e)May 2019,CUR_NAC,Average monthly gross earning,1430
f)June 2019,CUR_NAC,Average monthly gross earning,1404
g)July 2019,CUR_NAC,Average monthly gross earning,1439
h)August 2019,CUR_NAC,Average monthly gross earning,1429
i)September 2019,CUR_NAC,Average monthly gross earning,1415
j)October 2019,CUR_NAC,Average monthly gross earning,1440
k)November 2019,CUR_NAC,Average monthly gross earning,1433
l)December 2019,CUR_NAC,Average monthly gross earning,1470
m)January 2020,CUR_NAC,Average monthly gross earning,1460
n)February 2020,CUR_NAC,Average monthly gross earning,1452
o)March 2020,CUR_NAC,Average monthly gross earning,1466
p)April 2020,CUR_NAC,Average monthly gross earning,1454
q)May 2020,CUR_NAC,Average monthly gross earning,1450
r)June 2020,CUR_NAC,Average monthly gross earning,1475
s)July 2020,CUR_NAC,Average monthly gross earning,1492
t)August 2020,CUR_NAC,Average monthly gross earning,1472
u)September 2020,CUR_NAC,Average monthly gross earning,1485
v)October 2020,CUR_NAC,Average monthly gross earning,1485
w)November 2020,CUR_NAC,Average monthly gross earning,1493
x)December 2020,CUR_NAC,Average monthly gross earning,1526
y)January 2021,CUR_NAC,Average monthly gross earning,1504
z)February 2021,CUR_NAC,Average monthly gross earning,1490
a)January 2019,CUR_NAC,Average monthly paid off net earning,913
b)February 2019,CUR_NAC,Average monthly paid off net earning,895
c)March 2019,CUR_NAC,Average monthly paid off net earning,907
d)April 2019,CUR_NAC,Average monthly paid off net earning,916
e)May 2019,CUR_NAC,Average monthly paid off net earning,926
f)June 2019,CUR_NAC,Average monthly paid off net earning,910
g)July 2019,CUR_NAC,Average monthly paid off net earning,932
h)August 2019,CUR_NAC,Average monthly paid off net earning,925
i)September 2019,CUR_NAC,Average monthly paid off net earning,916
j)October 2019,CUR_NAC,Average monthly paid off net earning,932
k)November 2019,CUR_NAC,Average monthly paid off net earning,928
l)December 2019,CUR_NAC,Average monthly paid off net earning,951
m)January 2020,CUR_NAC,Average monthly paid off net earning,945
n)February 2020,CUR_NAC,Average monthly paid off net earning,941
o)March 2020,CUR_NAC,Average monthly paid off net earning,950
p)April 2020,CUR_NAC,Average monthly paid off net earning,942
q)May 2020,CUR_NAC,Average monthly paid off net earning,940
r)June 2020,CUR_NAC,Average monthly paid off net earning,955
s)July 2020,CUR_NAC,Average monthly paid off net earning,965
t)August 2020,CUR_NAC,Average monthly paid off net earning,953
u)September 2020,CUR_NAC,Average monthly paid off net earning,962
v)October 2020,CUR_NAC,Average monthly paid off net earning,961
w)November 2020,CUR_NAC,Average monthly paid off net earning,966
x)December 2020,CUR_NAC,Average monthly paid off net earning,988
y)January 2021,CUR_NAC,Average monthly paid off net earning,969
z)February 2021,CUR_NAC,Average monthly paid off net earning,961
