Year,UNIT_MEASURE,Type,Value
a)2019 Q1,NUMBER,Cross- border traffic total - Entry,5089290
b)2019 Q2,NUMBER,Cross- border traffic total - Entry,6754888
c)2019 Q3,NUMBER,Cross- border traffic total - Entry,8253750
d)2019 Q4,NUMBER,Cross- border traffic total - Entry,6284465
a)2019 Q1,NUMBER,Cross- border traffic total - Exit,5248925
b)2019 Q2,NUMBER,Cross- border traffic total - Exit,6793862
c)2019 Q3,NUMBER,Cross- border traffic total - Exit,8328680
d)2019 Q4,NUMBER,Cross- border traffic total - Exit,6212490
e)2020 Q1,NUMBER,Cross- border traffic total - Entry,4213587
f)2020 Q2,NUMBER,Cross- border traffic total - Entry,1582652
g)2020 Q3,NUMBER,Cross- border traffic total - Entry,3668004
h)2020 Q4,NUMBER,Cross- border traffic total - Entry,2708268
e)2020 Q1,NUMBER,Cross- border traffic total - Entry,4349367
f)2020 Q2,NUMBER,Cross- border traffic total - Exit,1531978
g)2020 Q3,NUMBER,Cross- border traffic total - Exit,3673817
h)2020 Q4,NUMBER,Cross- border traffic total - Exit,2620815
