Year,UNIT_MEASURE,Type,Value
a)January,GWh,Available for final consumption 2019,1241
b)February,GWh,Available for final consumption 2019,1031
c)March,GWh,Available for final consumption 2019,1066
d)April,GWh,Available for final consumption 2019,993
e)May,GWh,Available for final consumption 2019,1002
f)June,GWh,Available for final consumption 2019,965
g)July,GWh,Available for final consumption 2019,946
h)August,GWh,Available for final consumption 2019,944
i)September,GWh,Available for final consumption 2019,880
j)October,GWh,Available for final consumption 2019,957
k)November,GWh,Available for final consumption 2019,966
l)December,GWh,Available for final consumption 2019,1114
a)January,GWh,Available for final consumption 2020,1137
b)February,GWh,Available for final consumption 2020,976
c)March,GWh,Available for final consumption 2020,931
d)April,GWh,Available for final consumption 2020,828
e)May,GWh,Available for final consumption 2020,808
f)June,GWh,Available for final consumption 2020,812
g)July,GWh,Available for final consumption 2020,890
h)August,GWh,Available for final consumption 2020,848
i)September,GWh,Available for final consumption 2020,848
j)October,GWh,Available for final consumption 2020,927
k)November,GWh,Available for final consumption 2020,1020
l)December,GWh,Available for final consumption 2020,1094
a)January,GWh,Available for final consumption 2021,1086
b)February,GWh,Available for final consumption 2021,963
