Year,UNIT_MEASURE,Type,Value
a)January,Index,Overall Index 2019,100.1
b)February,Index,Overall Index 2019,100.2
c)March,Index,Overall Index 2019,99.1
d)April,Index,Overall Index 2019,100.4
e)May,Index,Overall Index 2019,100.2
f)June,Index,Overall Index 2019,99.2
g)July,Index,Overall Index 2019,100.4
h)August,Index,Overall Index 2019,99.9
i)September,Index,Overall Index 2019,99.5
j)October,Index,Overall Index 2019,99.0
k)November,Index,Overall Index 2019,99.6
l)December,Index,Overall Index 2019,99.8
a)January,Index,Overall Index 2020,99.9
b)February,Index,Overall Index 2020,99.9
c)March,Index,Overall Index 2020,99.1
d)April,Index,Overall Index 2020,99.9
e)May,Index,Overall Index 2020,99.9
f)June,Index,Overall Index 2020,99.5
g)July,Index,Overall Index 2020,100.2
h)August,Index,Overall Index 2020,99.9
i)September,Index,Overall Index 2020,100.3
j)October,Index,Overall Index 2020,98.8
k)November,Index,Overall Index 2020,98.6
l)December,Index,Overall Index 2020,101.2
a)January,Index,Overall Index 2021,100.3
b)February,Index,Overall Index 2021,101.6
c)March,Index,Overall Index 2021,99.8
a)January,Index,Domestic market 2019,99.6
b)February,Index,Domestic market 2019,100.4
c)March,Index,Domestic market 2019,98.2
d)April,Index,Domestic market 2019,101.0
e)May,Index,Domestic market 2019,100.5
f)June,Index,Domestic market 2019,99.0
g)July,Index,Domestic market 2019,100.2
h)August,Index,Domestic market 2019,100.0
i)September,Index,Domestic market 2019,100.1
j)October,Index,Domestic market 2019,99.0
k)November,Index,Domestic market 2019,100.3
l)December,Index,Domestic market 2019,100.0
a)January,Index,Domestic market 2020,100.0
b)February,Index,Domestic market 2020,100.0
c)March,Index,Domestic market 2020,98.5
d)April,Index,Domestic market 2020,99.6
e)May,Index,Domestic market 2020,99.7
f)June,Index,Domestic market 2020,99.7
g)July,Index,Domestic market 2020,100.0
h)August,Index,Domestic market 2020,99.9
i)September,Index,Domestic market 2020,100.3
j)October,Index,Domestic market 2020,98.1
k)November,Index,Domestic market 2020,98.2
l)December,Index,Domestic market 2020,101.6
a)January,Index,Domestic market 2021,100.1
b)February,Index,Domestic market 2021,101.8
c)March,Index,Domestic market 2021,99.0
a)January,Index,Non-domestic market 2019,100.8
b)February,Index,Non-domestic market 2019,100.1
c)March,Index,Non-domestic market 2019,100.6
d)April,Index,Non-domestic market 2019,99.5
e)May,Index,Non-domestic market 2019,99.7
f)June,Index,Non-domestic market 2019,99.4
g)July,Index,Non-domestic market 2019,100.9
h)August,Index,Non-domestic market 2019,99.7
i)September,Index,Non-domestic market 2019,98.5
j)October,Index,Non-domestic market 2019,99.0
k)November,Index,Non-domestic market 2019,98.6
l)December,Index,Non-domestic market 2019,99.5
a)January,Index,Non-domestic market 2020,99.9
b)February,Index,Non-domestic market 2020,99.8
c)March,Index,Non-domestic market 2020,100.1
d)April,Index,Non-domestic market 2020,99.7
e)May,Index,Non-domestic market 2020,100.2
f)June,Index,Non-domestic market 2020,99.2
g)July,Index,Non-domestic market 2020,100.4
h)August,Index,Non-domestic market 2020,100.0
i)September,Index,Non-domestic market 2020,100.4
j)October,Index,Non-domestic market 2020,99.8
k)November,Index,Non-domestic market 2020,99.2
l)December,Index,Non-domestic market 2020,100.4
a)January,Index,Non-domestic market 2021,100.6
b)February,Index,Non-domestic market 2021,101.5
c)March,Index,Non-domestic market 2021,101.1
