Year,UNIT_MEASURE,Type,Value
1-2019 2020 jan,Index,VAT,102.68
2-2019 2020 feb,Index,VAT,108.04
3-2019 2020 mar,Index,VAT,99.23
4-2019 2020 apr,Index,VAT,76.73
5-2019 2020 may,Index,VAT,69.59
6-2019 2020 june,Index,VAT,93.0
7-2019 2020 july,Index,VAT,98.56
8-2019 2020 aug,Index,VAT,84.9
9-2019 2020 sept,Index,VAT,91.99
10-2019 2020 oct,Index,VAT,96.15
11-2019 2020 nov,Index,VAT,93.91
12-2019 2020 dec,Index,VAT,95.27
1-2019 2020 jan,Index,Customs,102.24
2-2019 2020 feb,Index,Customs,109.0
3-2019 2020 mar,Index,Customs,90.08
4-2019 2020 apr,Index,Customs,56.7
5-2019 2020 may,Index,Customs,63.74
6-2019 2020 june,Index,Customs,89.74
7-2019 2020 july,Index,Customs,92.66
8-2019 2020 aug,Index,Customs,82.75
9-2019 2020 sept,Index,Customs,91.35
10-2019 2020 oct,Index,Customs,91.45
11-2019 2020 nov,Index,Customs,90.97
12-2019 2020 dec,Index,Customs,93.6
1-2019 2020 jan,Index,Excise duties on import goods,96.36
2-2019 2020 feb,Index,Excise duties on import goods,124.3
3-2019 2020 mar,Index,Excise duties on import goods,130.95
4-2019 2020 apr,Index,Excise duties on import goods,101.58
5-2019 2020 may,Index,Excise duties on import goods,52.06
6-2019 2020 june,Index,Excise duties on import goods,96.95
7-2019 2020 july,Index,Excise duties on import goods,76.47
8-2019 2020 aug,Index,Excise duties on import goods,75.01
9-2019 2020 sept,Index,Excise duties on import goods,87.61
10-2019 2020 oct,Index,Excise duties on import goods,81.27
11-2019 2020 nov,Index,Excise duties on import goods,103.17
12-2019 2020 dec,Index,Excise duties on import goods,79.05
1-2019 2020 jan,Index,Excise duties on domestic goods,39.08
2-2019 2020 feb,Index,Excise duties on domestic goods,37.23
3-2019 2020 mar,Index,Excise duties on domestic goods,79.14
4-2019 2020 apr,Index,Excise duties on domestic goods,13.29
5-2019 2020 may,Index,Excise duties on domestic goods,30.71
6-2019 2020 june,Index,Excise duties on domestic goods,66.47
7-2019 2020 july,Index,Excise duties on domestic goods,73.22
8-2019 2020 aug,Index,Excise duties on domestic goods,83.15
9-2019 2020 sept,Index,Excise duties on domestic goods,75.57
10-2019 2020 oct,Index,Excise duties on domestic goods,117.43
11-2019 2020 nov,Index,Excise duties on domestic goods,64.28
12-2019 2020 dec,Index,Excise duties on domestic goods,62.21
1-2019 2020 jan,Index,Road tax on petroleum products,98.18
2-2019 2020 feb,Index,Road tax on petroleum products,106.13
3-2019 2020 mar,Index,Road tax on petroleum products,106.08
4-2019 2020 apr,Index,Road tax on petroleum products,66.56
5-2019 2020 may,Index,Road tax on petroleum products,89.87
6-2019 2020 june,Index,Road tax on petroleum products,95.43
7-2019 2020 july,Index,Road tax on petroleum products,80.37
8-2019 2020 aug,Index,Road tax on petroleum products,75.88
9-2019 2020 sept,Index,Road tax on petroleum products,91.53
10-2019 2020 oct,Index,Road tax on petroleum products,83.88
11-2019 2020 nov,Index,Road tax on petroleum products,103.59
12-2019 2020 dec,Index,Road tax on petroleum products,91.52
1-2019 2020 jan,Index,Other income and charges,103.63
2-2019 2020 feb,Index,Other income and charges,101.1
3-2019 2020 mar,Index,Other income and charges,81.34
4-2019 2020 apr,Index,Other income and charges,82.57
5-2019 2020 may,Index,Other income and charges,77.67
6-2019 2020 june,Index,Other income and charges,86.03
7-2019 2020 july,Index,Other income and charges,86.96
8-2019 2020 aug,Index,Other income and charges,107.15
9-2019 2020 sept,Index,Other income and charges,95.19
10-2019 2020 oct,Index,Other income and charges,95.63
11-2019 2020 nov,Index,Other income and charges,102.8
12-2019 2020 dec,Index,Other income and charges,119.1
1-2019 2020 jan,Index,Total,98.5
2-2019 2020 feb,Index,Total,108.88
3-2019 2020 mar,Index,Total,104.14
4-2019 2020 apr,Index,Total,77.33
5-2019 2020 may,Index,Total,66.53
6-2019 2020 june,Index,Total,93.06
7-2019 2020 july,Index,Total,91.76
8-2019 2020 aug,Index,Total,82.2
9-2019 2020 sept,Index,Total,90.91
10-2019 2020 oct,Index,Total,92.34
11-2019 2020 nov,Index,Total,95.53
12-2019 2020 dec,Index,Total,91.88
