Year,UNIT_MEASURE,Type,Value
a)January,Number,domestic tourist_2019,56765
b)February,Number,domestic tourist_2019,55616
c)March,Number,domestic tourist_2019,80776
d)April,Number,domestic tourist_2019,79264
e)May,Number,domestic tourist_2019,103960
f)June,Number,domestic tourist_2019,93363
g)July,Number,domestic tourist_2019,93363
h)August,Number,domestic tourist_2019,97373
i)September,Number,domestic tourist_2019,87541
a)January,Number,domestic tourist_2020,59641
b)February,Number,domestic tourist_2020,58055
c)March,Number,domestic tourist_2020,31515
d)April,Number,domestic tourist_2020,2310
e)May,Number,domestic tourist_2020,1670
f)June,Number,domestic tourist_2020,13471
g)July,Number,domestic tourist_2020,111824
h)August,Number,domestic tourist_2020,156165
i)September,Number,domestic tourist_2020,106510
a)January,Number,foreign tourist_2019,101438
b)February,Number,foreign tourist_2019,119711
c)March,Number,foreign tourist_2019,131648
d)April,Number,foreign tourist_2019,207194
e)May,Number,foreign tourist_2019,245634
f)June,Number,foreign tourist_2019,329756
g)July,Number,foreign tourist_2019,357357
h)August,Number,foreign tourist_2019,357357
i)September,Number,foreign tourist_2019,240968
a)January,Number,foreign tourist_2020:,126406
b)February,Number,foreign tourist_2020:,112000
c)March,Number,foreign tourist_2020:,36353
d)April,Number,foreign tourist_2020:,5541
e)May,Number,foreign tourist_2020:,12043
f)June,Number,foreign tourist_2020:,41580
g)July,Number,foreign tourist_2020:,22763
h)August,Number,foreign tourist_2020:,51555
i)September,Number,foreign tourist_2020:,34695
