Year,Value,UNIT_MEASURE,SERIES
2015,0.02267,Percent,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
2016,0.02819,Percent,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
2017,0.05771,Percent,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
2018,0.08685,Percent,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
2019,0.42727,Percent,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
2020,0.34182,Percent,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
2021,0.87877,Percent,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
2022,1.60099,Percent,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
2015,0.00372,(billions of nominal United States dollars),Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars)
2016,0.00477,(billions of nominal United States dollars),Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars)
2017,0.01009,(billions of nominal United States dollars),Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars)
2018,0.01577,(billions of nominal United States dollars),Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars)
2019,0.07981,(billions of nominal United States dollars),Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars)
2020,0.06192,(billions of nominal United States dollars),Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars)
2021,0.17097,(billions of nominal United States dollars),Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars)
2022,0.32464,(billions of nominal United States dollars),Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars)
2015,1.0554,(Current United States dollars),Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars)
2016,1.3713,(Current United States dollars),Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars)
2017,2.93358,(Current United States dollars),Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars)
2018,4.63745,(Current United States dollars),Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars)
2019,23.74803,(Current United States dollars),Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars)
2020,18.66074,(Current United States dollars),Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars)
2021,52.26783,(Current United States dollars),Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars)
2022,100.39731,(Current United States dollars),Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars)
