Year,Value,UNIT_MEASURE,SERIES
2002,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2003,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2004,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2005,0.6115,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2006,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2007,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2008,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2009,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2010,12.1442,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2011,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2012,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2013,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2014,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2015,0.8117,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2016,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2017,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2018,11.2733,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2019,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2020,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
2021,,Constant USD,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars)"
