Year,Value,UNIT_MEASURE,SERIES
2010,-1.15,Index,Consumer Food Price Index
2011,0.5,Index,Consumer Food Price Index
2012,-0.13,Index,Consumer Food Price Index
2013,-0.42,Index,Consumer Food Price Index
2014,-0.55,Index,Consumer Food Price Index
2015,0.09,Index,Consumer Food Price Index
2016,0.04,Index,Consumer Food Price Index
2017,0.42,Index,Consumer Food Price Index
2018,-0.61,Index,Consumer Food Price Index
2019,0.4,Index,Consumer Food Price Index
2020,1.27,Index,Consumer Food Price Index
2021,0.84,Index,Consumer Food Price Index
2022,2.91,Index,Consumer Food Price Index
2023,0.93,Index,Consumer Food Price Index
2024,-0.09,Index,Consumer Food Price Index
