Year,Value,UNIT_MEASURE,SERIES
2000,5.19,Percent,Annual growth rate of real GDP per capita
2001,2.31,Percent,Annual growth rate of real GDP per capita
2002,4.92,Percent,Annual growth rate of real GDP per capita
2003,3.79,Percent,Annual growth rate of real GDP per capita
2004,6.27,Percent,Annual growth rate of real GDP per capita
2005,3.87,Percent,Annual growth rate of real GDP per capita
2006,5.41,Percent,Annual growth rate of real GDP per capita
2007,5.93,Percent,Annual growth rate of real GDP per capita
2008,5.68,Percent,Annual growth rate of real GDP per capita
2009,-2.53,Percent,Annual growth rate of real GDP per capita
2010,1.69,Percent,Annual growth rate of real GDP per capita
2011,2.18,Percent,Annual growth rate of real GDP per capita
2012,0.72,Percent,Annual growth rate of real GDP per capita
2013,4.15,Percent,Annual growth rate of real GDP per capita
2014,2.91,Percent,Annual growth rate of real GDP per capita
2015,4.67,Percent,Annual growth rate of real GDP per capita
2016,4.46,Percent,Annual growth rate of real GDP per capita
2017,4.24,Percent,Annual growth rate of real GDP per capita
2018,4.6,Percent,Annual growth rate of real GDP per capita
2019,3.55,Percent,Annual growth rate of real GDP per capita
