Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2000,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2001,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,0.22
2002,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2003,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2004,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,0.11
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,0.08
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,0.09
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2019,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,0.08
2020,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2021,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2022,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,
2000,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2001,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,0.27
2002,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2003,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2004,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,0.14
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,0.09
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2015,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2016,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2017,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2018,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,
2019,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Žene,0.08
2000,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,
2001,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,0.18
2002,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,
2003,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,0.12
2004,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,0.1
2005,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,
2006,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,
2007,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,0.07
2008,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,
2009,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,
2010,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,
2011,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,0.08
2012,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,
2013,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,
2014,Zaposleno stanovništvo ispod međunarodne linije siromaštva,Postotak,15 godina i više,Muškarci,
