Year,SERIES,UNIT_MEASURE,Value
2000,Likvidna sredstva u kratkoročne obaveze (%),Postotak,54.0494
2001,Likvidna sredstva u kratkoročne obaveze (%),Postotak,65.07871
2002,Likvidna sredstva u kratkoročne obaveze (%),Postotak,51.51903
2003,Likvidna sredstva u kratkoročne obaveze (%),Postotak,58.73752
2004,Likvidna sredstva u kratkoročne obaveze (%),Postotak,59.52544
2005,Likvidna sredstva u kratkoročne obaveze (%),Postotak,61.91274
2006,Likvidna sredstva u kratkoročne obaveze (%),Postotak,60.77306
2007,Likvidna sredstva u kratkoročne obaveze (%),Postotak,61.28471
2008,Likvidna sredstva u kratkoročne obaveze (%),Postotak,78.89405
2009,Likvidna sredstva u kratkoročne obaveze (%),Postotak,81.60722
2010,Likvidna sredstva u kratkoročne obaveze (%),Postotak,71.74154
2011,Likvidna sredstva u kratkoročne obaveze (%),Postotak,67.32943
2012,Likvidna sredstva u kratkoročne obaveze (%),Postotak,65.28876
2013,Likvidna sredstva u kratkoročne obaveze (%),Postotak,65.89659
2014,Likvidna sredstva u kratkoročne obaveze (%),Postotak,65.61993
2015,Likvidna sredstva u kratkoročne obaveze (%),Postotak,61.92074
2016,Likvidna sredstva u kratkoročne obaveze (%),Postotak,61.61892
2017,Likvidna sredstva u kratkoročne obaveze (%),Postotak,59.85051
2018,Likvidna sredstva u kratkoročne obaveze (%),Postotak,60.43847
2019,Likvidna sredstva u kratkoročne obaveze (%),Postotak,61.03062
2020,Likvidna sredstva u kratkoročne obaveze (%),Postotak,51.34221
2021,Likvidna sredstva u kratkoročne obaveze (%),Postotak,51.2768
2000,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,0.0
2001,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,0.0
2002,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,0.0
2003,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,33.09814
2004,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,9.20791
2005,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,6.34987
2006,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,6.81397
2007,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,4.3397
2008,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,4.61266
2009,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,1.31004
2010,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,3.41532
2011,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,12.70493
2012,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,4.41682
2013,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,5.72097
2014,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,9.85365
2015,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,8.30719
2016,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,1.58889
2017,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,-0.21428
2018,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,2.10767
2019,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,3.42322
2020,Neto otvorena pozicija u devizama prema kapitalu (%),Postotak,4.17421
2000,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,30.30251
2001,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,33.46471
2002,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,24.41932
2003,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,19.77382
2004,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,15.53339
2005,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,15.65278
2006,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,11.76116
2007,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,9.53645
2008,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,10.27404
2009,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,19.64209
2010,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,32.8362
2011,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,20.59918
2012,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,24.78804
2013,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,26.44458
2014,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,24.63512
2015,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,24.8954
2016,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,17.55071
2017,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,13.51627
2018,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,11.42326
2019,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,9.61235
2020,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,7.3803
2021,Nenaplativi krediti umanjeni za rezervisanja za kapital (%),Postotak,6.9967
2000,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,21.21596
2001,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,17.9071
2002,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,11.01722
2003,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,8.38583
2004,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,6.07354
2005,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,5.2756
2006,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,3.99876
2007,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,3.01859
2008,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,3.0912
2009,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,5.87121
2010,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,11.42178
2011,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,11.79971
2012,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,13.46569
2013,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,15.11985
2014,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,14.16531
2015,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,13.70842
2016,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,11.77772
2017,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,10.04628
2018,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,8.770334
2019,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,7.41166
2020,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,6.1224
2021,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,5.7789
2021,Nenaplativi krediti prema ukupnim bruto kreditima (%),Postotak,5.7789
2000,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,26.47587
2001,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,22.35867
2002,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,18.94798
2003,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,15.92226
2004,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,14.92504
2005,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,13.67148
2006,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,13.61705
2007,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,12.59725
2008,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,12.00377
2009,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,12.39212
2010,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,12.64014
2011,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,13.56927
2012,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,14.06259
2013,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,15.23422
2014,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,14.34523
2015,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,13.76124
2016,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,15.02839
2017,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,14.76778
2018,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,16.48705
2019,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,17.47287
2020,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,18.0835
2021,Regulatorni kapital prvog reda prema rizičnoj aktivi (%),Postotak,18.7423
2000,Regulatorni kapital prema imovini (%),Postotak,20.43923
2001,Regulatorni kapital prema imovini (%),Postotak,14.52766
2002,Regulatorni kapital prema imovini (%),Postotak,14.93297
2003,Regulatorni kapital prema imovini (%),Postotak,11.79346
2004,Regulatorni kapital prema imovini (%),Postotak,10.73723
2005,Regulatorni kapital prema imovini (%),Postotak,9.72961
2006,Regulatorni kapital prema imovini (%),Postotak,9.73689
2007,Regulatorni kapital prema imovini (%),Postotak,8.81781
2008,Regulatorni kapital prema imovini (%),Postotak,9.20405
2009,Regulatorni kapital prema imovini (%),Postotak,9.69789
2010,Regulatorni kapital prema imovini (%),Postotak,10.27702
2011,Regulatorni kapital prema imovini (%),Postotak,10.61361
2012,Regulatorni kapital prema imovini (%),Postotak,10.93375
2013,Regulatorni kapital prema imovini (%),Postotak,11.53761
2014,Regulatorni kapital prema imovini (%),Postotak,10.66636
2015,Regulatorni kapital prema imovini (%),Postotak,10.07751
2016,Regulatorni kapital prema imovini (%),Postotak,10.86116
2017,Regulatorni kapital prema imovini (%),Postotak,10.67599
2018,Regulatorni kapital prema imovini (%),Postotak,10.43046
2019,Regulatorni kapital prema imovini (%),Postotak,10.78633
2020,Regulatorni kapital prema imovini (%),Postotak,10.47051
2021,Regulatorni kapital prema imovini (%),Postotak,9.9746
