Year,SERIES,UNIT_MEASURE,Stupanj urbanizacije,Value
2000,Udio gradskog stanovništva koje živi u siromašnim četvrtima,Postotak,Urbano,5.1
2002,Udio gradskog stanovništva koje živi u siromašnim četvrtima,Postotak,Urbano,5.1
2004,Udio gradskog stanovništva koje živi u siromašnim četvrtima,Postotak,Urbano,5.1
2006,Udio gradskog stanovništva koje živi u siromašnim četvrtima,Postotak,Urbano,4.9
2008,Udio gradskog stanovništva koje živi u siromašnim četvrtima,Postotak,Urbano,4.7
2010,Udio gradskog stanovništva koje živi u siromašnim četvrtima,Postotak,Urbano,4.5
2012,Udio gradskog stanovništva koje živi u siromašnim četvrtima,Postotak,Urbano,4.3
2014,Udio gradskog stanovništva koje živi u siromašnim četvrtima,Postotak,Urbano,4.0
2016,Udio gradskog stanovništva koje živi u siromašnim četvrtima,Postotak,Urbano,4.0
2018,Udio gradskog stanovništva koje živi u siromašnim četvrtima,Postotak,Urbano,4.0
