Year,SERIES,UNIT_MEASURE,Nivo vlasti,Value
2019,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Bilo koji nivo vlasti,53.90927
2020,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Bilo koji nivo vlasti,49.32094
2021,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Bilo koji nivo vlasti,55.87455
2022,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Bilo koji nivo vlasti,60.89034
2019,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Lokalna uprava,20.28493
2020,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Lokalna uprava,19.14955
2021,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Lokalna uprava,20.18869
2022,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Lokalna uprava,21.52359
2019,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Nacionalna vlast,15.74871
2020,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Nacionalna vlast,14.41384
2021,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Nacionalna vlast,18.34312
2022,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Nacionalna vlast,20.76962
2019,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Entitetska vlast,17.87563
2020,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Entitetska vlast,15.75756
2021,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Entitetska vlast,17.34274
2022,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, javni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Entitetska vlast,18.59712
2019,"Ukupni izdaci po stanovniku potrošeni na kulturnu i prirodnu baštinu, privatni (PPP, konstantni američki dolari iz 2017.)",Konstantni PPP američki dolari,Bilo koji nivo vlasti,1.30468
