Year,SERIES,UNIT_MEASURE,Vrsta tretmana otpada,Privredna aktivnost,Value
2014,Proizvedeni opasni otpad (tone),Tone,,,8703.0
2016,Proizvedeni opasni otpad (tone),Tone,,,13292.0
2016,Proizvedeni opasni otpad (tone),Tone,,,14162.0
2020,Proizvedeni opasni otpad (tone),Tone,,,9943.0
2014,"Proizvedeni opasni otpad, po stanovniku (Kg)",Kilogrami,,,2.43709
2016,"Proizvedeni opasni otpad, po stanovniku (Kg)",Kilogrami,,,3.81846
2018,"Proizvedeni opasni otpad, po stanovniku (Kg)",Kilogrami,,,4.16514
2020,"Proizvedeni opasni otpad, po stanovniku (Kg)",Kilogrami,,,2.9963
2014,"Proizvedeni opasni otpad, po jedinici BDP-a",Kilogrami po konstanti američkog dolara,,,0.0006
2016,"Proizvedeni opasni otpad, po jedinici BDP-a",Kilogrami po konstanti američkog dolara,,,0.0008
2018,"Proizvedeni opasni otpad, po jedinici BDP-a",Kilogrami po konstanti američkog dolara,,,0.0008
2020,"Proizvedeni opasni otpad, po jedinici BDP-a",Kilogrami po konstanti američkog dolara,,,0.0006
2012,Izvoz opasnog otpada (tone),Tone,,,554.392
2014,Izvoz opasnog otpada (tone),Tone,,,568.886
2012,Uvoz opasnog otpada (tone),Tone,,,0.0
2014,Uvoz opasnog otpada (tone),Tone,,,0.0
2014,"Obrađen opasni otpad, prema vrsti obrade (tone)",Tone,Odlaganje na deponije,,0.0
2016,"Obrađen opasni otpad, prema vrsti obrade (tone)",Tone,Odlaganje na deponije,,0.0
2018,"Obrađen opasni otpad, prema vrsti obrade (tone)",Tone,Odlaganje na deponije,,0.0
2020,"Obrađen opasni otpad, prema vrsti obrade (tone)",Tone,Odlaganje na deponije,,0.0
2008,Prikupljeni komunalni otpad (tone),Tone,,,
2012,Generisani komunalni otpad (tone),Tone,,,1303000.0
2014,Generisani komunalni otpad (tone),Tone,,,1335000.0
2015,Generisani komunalni otpad (tone),Tone,,,1249000.0
2016,Generisani komunalni otpad (tone),Tone,,,1244000.0
2017,Generisani komunalni otpad (tone),Tone,,,1235000.0
2018,Generisani komunalni otpad (tone),Tone,,,1244000.0
2019,Generisani komunalni otpad (tone),Tone,,,1228000.0
2020,Generisani komunalni otpad (tone),Tone,,,1206000.0
2021,Generisani komunalni otpad (tone),Tone,,,1229000.0
2012,Udio obrađenog komunalnog otpada prema vrsti obrade (%),Postotak,LANDFILCT,,99.97192
2014,Udio obrađenog komunalnog otpada prema vrsti obrade (%),Postotak,LANDFILCT,,100.0
2015,Udio obrađenog komunalnog otpada prema vrsti obrade (%),Postotak,LANDFILCT,,99.98291
2017,Udio obrađenog komunalnog otpada prema vrsti obrade (%),Postotak,Odlaganje na deponije,,
2018,Udio obrađenog komunalnog otpada prema vrsti obrade (%),Postotak,Odlaganje na deponije,,
2019,Udio obrađenog komunalnog otpada prema vrsti obrade (%),Postotak,Odlaganje na deponije,,
2020,Udio obrađenog komunalnog otpada prema vrsti obrade (%),Postotak,Odlaganje na deponije,,
2021,Udio obrađenog komunalnog otpada prema vrsti obrade (%),Postotak,Odlaganje na deponije,,
2019,Udio obrađenog komunalnog otpada prema vrsti obrade (%),Postotak,Spaljivanje,,0.0
2021,Udio obrađenog komunalnog otpada prema vrsti obrade (%),Postotak,Spaljivanje,,78.60049
2019,Udio obrađenog komunalnog otpada prema vrsti obrade (%),Postotak,Spaljivanje za proizvodnju energije,,
2021,Udio obrađenog komunalnog otpada prema vrsti obrade (%),Postotak,Spaljivanje za proizvodnju energije,,
2012,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Kompostiranje,,0.0
2014,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Kompostiranje,,0.0
2015,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Kompostiranje,,0.0
2016,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Kompostiranje,,0.0
2017,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Kompostiranje,,0.0
2012,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Spaljivanje,,0.0
2014,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Spaljivanje,,0.0
2015,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Spaljivanje,,0.0
2016,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Spaljivanje,,0.0
2017,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Spaljivanje,,0.0
2018,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Spaljivanje,,0.0
2019,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Spaljivanje,,0.0
2020,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Spaljivanje,,0.0
2021,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Spaljivanje,,
2012,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Spaljivanje za proizvodnju energije,,0.0
2014,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Spaljivanje za proizvodnju energije,,0.0
2015,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Spaljivanje za proizvodnju energije,,0.0
2016,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Spaljivanje za proizvodnju energije,,0.0
2017,Komunalni otpad tretiran prema vrsti tretmana (tone),Tone,Spaljivanje za proizvodnju energije,,0.0
