Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2012,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,463.08759
2013,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,470.87276
2014,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,481.23811
2015,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,489.57275
2016,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,510.1026
2017,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,525.66448
2018,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,554.6819
2019,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,574.40226
2020,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,588.47212
2021,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,623.21477
2022,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Svi obnovljivi izvori energije,646.18469
2012,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2013,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2014,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2015,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.0
2016,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.28727
2017,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.2907
2018,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.36469
2019,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.6576
2020,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,0.63585
2021,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,3.12142
2022,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Bioenergija,3.15754
2012,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2013,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2014,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2015,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2016,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2017,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2018,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2019,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2020,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2021,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2022,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Geotermalna energija,0.0
2012,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,462.91096
2013,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,470.41969
2014,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,479.14741
2015,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,487.16945
2016,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,505.67282
2017,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,520.63545
2018,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,533.97974
2019,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,541.20691
2020,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,551.10479
2021,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,561.54448
2022,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Hidroenergija,568.04244
2012,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2013,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2014,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2015,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2016,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2017,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2018,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2019,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2020,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2021,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2022,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Morska energija,0.0
2012,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.09498
2013,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,0.37014
2014,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,2.00668
2015,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,2.31818
2016,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,4.05632
2017,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,4.65113
2018,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,5.33803
2019,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,6.65038
2020,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,10.51408
2021,Instalirani kapacitet za proizvodnju električne energije iz obnovljivih izvora (vati po glavi stanovnika),Vati po glavi stanovnika,Sunčeva energija,17.27636
