Year,SERIES,UNIT_MEASURE,Value
2010,SG_STT_CAPTY,(nominalni američki dolari),5.621349
2011,SG_STT_CAPTY,(nominalni američki dolari),6.713456
2012,SG_STT_CAPTY,(nominalni američki dolari),4.628105
2013,SG_STT_CAPTY,(nominalni američki dolari),11.089195
2014,SG_STT_CAPTY,(nominalni američki dolari),5.146457
2015,SG_STT_CAPTY,(nominalni američki dolari),3.31023
2016,SG_STT_CAPTY,(nominalni američki dolari),1.636805
2017,SG_STT_CAPTY,(nominalni američki dolari),2.273013
2018,SG_STT_CAPTY,(nominalni američki dolari),0.16191
2019,SG_STT_CAPTY,(nominalni američki dolari),1.874828
2020,SG_STT_CAPTY,(nominalni američki dolari),1.06642
2021,SG_STT_CAPTY,(nominalni američki dolari),3.782544
