Year,SERIES,UNIT_MEASURE,Value
2013,Zemlje koje su provele najmanje jedan popis stanovništva i kućanstava u posljednjih 10 godina (1 = DA; 0 = NE),NUMBER,1
2015,Zemlja sa matičnim knjigama rođenih koje su popunjene najmanje 90 posto (1 = DA; 0 = NE),NUMBER,1
2016,Zemlja sa matičnim knjigama rođenih koje su popunjene najmanje 90 posto (1 = DA; 0 = NE),NUMBER,1
2017,Zemlja sa matičnim knjigama rođenih koje su popunjene najmanje 90 posto (1 = DA; 0 = NE),NUMBER,1
2018,Zemlja sa matičnim knjigama rođenih koje su popunjene najmanje 90 posto (1 = DA; 0 = NE),NUMBER,1
2019,Zemlja sa matičnim knjigama rođenih koje su popunjene najmanje 90 posto (1 = DA; 0 = NE),NUMBER,1
2020,Zemlja sa matičnim knjigama rođenih koje su popunjene najmanje 90 posto (1 = DA; 0 = NE),NUMBER,1
2015,Zemlje sa knjigom umrlih koje su popunjene najmanje 75 posto (1 = DA; 0 = NE),NUMBER,1
2016,Zemlje sa knjigom umrlih koje su popunjene najmanje 75 posto (1 = DA; 0 = NE),NUMBER,1
2017,Zemlje sa knjigom umrlih koje su popunjene najmanje 75 posto (1 = DA; 0 = NE),NUMBER,1
2018,Zemlje sa knjigom umrlih koje su popunjene najmanje 75 posto (1 = DA; 0 = NE),NUMBER,1
2019,Zemlje sa knjigom umrlih koje su popunjene najmanje 75 posto (1 = DA; 0 = NE),NUMBER,1
2020,Zemlje sa knjigom umrlih koje su popunjene najmanje 75 posto (1 = DA; 0 = NE),NUMBER,1
