Year,SERIES,UNIT_MEASURE,Godine,Value
2000,SH_STA_STNTN,Tisuće,Ispod 5 godina,29.9
2001,SH_STA_STNTN,Tisuće,Ispod 5 godina,28.2
2002,SH_STA_STNTN,Tisuće,Ispod 5 godina,25.8
2003,SH_STA_STNTN,Tisuće,Ispod 5 godina,23.2
2004,SH_STA_STNTN,Tisuće,Ispod 5 godina,20.9
2005,SH_STA_STNTN,Tisuće,Ispod 5 godina,19.3
2006,SH_STA_STNTN,Tisuće,Ispod 5 godina,17.8
2007,SH_STA_STNTN,Tisuće,Ispod 5 godina,17.2
2008,SH_STA_STNTN,Tisuće,Ispod 5 godina,17.2
2009,SH_STA_STNTN,Tisuće,Ispod 5 godina,17.2
2010,SH_STA_STNTN,Tisuće,Ispod 5 godina,16.9
2011,SH_STA_STNTN,Tisuće,Ispod 5 godina,17.3
2012,SH_STA_STNTN,Tisuće,Ispod 5 godina,17.0
2013,SH_STA_STNTN,Tisuće,Ispod 5 godina,16.3
2014,SH_STA_STNTN,Tisuće,Ispod 5 godina,15.6
2015,SH_STA_STNTN,Tisuće,Ispod 5 godina,15.1
2016,SH_STA_STNTN,Tisuće,Ispod 5 godina,13.9
2017,SH_STA_STNTN,Tisuće,Ispod 5 godina,13.3
2018,SH_STA_STNTN,Tisuće,Ispod 5 godina,12.9
2019,SH_STA_STNTN,Tisuće,Ispod 5 godina,12.6
2020,SH_STA_STNTN,Tisuće,Ispod 5 godina,12.1
2000,SH_STA_STNT,Postotak,Ispod 5 godina,12.12708
2006,SH_STA_STNT,Postotak,Ispod 5 godina,11.813
2012,SH_STA_STNT,Postotak,Ispod 5 godina,8.88656
