Year,SERIES,UNIT_MEASURE,Spol,Value
2000,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2001,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2002,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2003,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2004,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2005,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2006,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2007,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2008,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2009,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2010,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,7.54
2011,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2012,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2013,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2014,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2015,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,6.66
2016,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,6.53
2017,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,6.57
2018,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,6.81
2019,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,6.4
2020,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,6.41
2021,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2022,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,
2023,Stopa smrtnosti majki,Na 100 000 živorođenih,Žene,6.17
