Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2014,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,150.0
2015,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,147.0
2016,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,145.0
2017,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,143.0
2018,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,141.0
2019,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,134.0
2020,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,128.0
2021,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,122.0
2022,Neonatalni mortalitet (broj),Broj,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,117.0
2014,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,4.8
2015,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,4.7
2016,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,4.6
2017,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,4.6
2018,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,4.5
2019,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,4.5
2020,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,4.5
2021,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,4.4
2022,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od 1 mjeseca,Oba spola ili bez podjele po spolu,4.4
