Year,SERIES,UNIT_MEASURE,Godine,Spol,COMPOSITE_BREAKDOWN,Value
2015,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom ili kroničnom respiratornom bolešću",Postotak,30 do točno 70 godina,Oba spola ili bez podjele po spolu,,19.2
2019,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom ili kroničnom respiratornom bolešću",Postotak,30 do točno 70 godina,Oba spola ili bez podjele po spolu,,18.7
2015,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom ili kroničnom respiratornom bolešću",Postotak,30 do točno 70 godina,Žene,,14.1
2019,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom ili kroničnom respiratornom bolešću",Postotak,30 do točno 70 godina,Žene,,13.6
2015,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom ili kroničnom respiratornom bolešću",Postotak,30 do točno 70 godina,Muškarci,,24.6
2019,"Stopa smrtnosti uzrokovana kardiovaskularnim bolestima, rakom, dijabetesom ili kroničnom respiratornom bolešću",Postotak,30 do točno 70 godina,Muškarci,,24.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,Rak,8056.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,Rak,8407.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,Rak,3270.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,Rak,3395.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,Kardiovaskularne bolesti,18648.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,Kardiovaskularne bolesti,19651.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,Kardiovaskularne bolesti,10181.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,Kardiovaskularne bolesti,10665.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,Dijabetes,2476.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,Dijabetes,2582.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,Dijabetes,1445.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,Dijabetes,1504.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,Kronična respiratorna bolest,1249.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Oba spola ili bez podjele po spolu,Kronična respiratorna bolest,1262.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,Rak,4785.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,Rak,5012.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,Kardiovaskularne bolesti,8468.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,Kardiovaskularne bolesti,8986.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,Dijabetes,1031.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,Dijabetes,1078.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,Kronična respiratorna bolest,474.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Žene,Kronična respiratorna bolest,477.0
2015,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,Kronična respiratorna bolest,776.0
2019,"Broj umrlih uzrokovan nezaraznim bolestima, prema vrsti bolesti i splu (broj)",Broj,,Muškarci,Kronična respiratorna bolest,785.0
