Year,SERIES,UNIT_MEASURE,Godine,Spol,COMPOSITE_BREAKDOWN,Value
2016,"Poremećaji uporabe alkohola, rasprostranjenost u 12 mjeseci (%)",Postotak,15 godina i više,Oba spola,,6.0
2016,"Poremećaji uporabe alkohola, rasprostranjenost u 12 mjeseci (%)",Postotak,15 godina i više,Žene,,2.2
2016,"Poremećaji uporabe alkohola, rasprostranjenost u 12 mjeseci (%)",Postotak,15 godina i više,Muškarci,,9.8
2017,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Oba spola,Stimulansi tipa amfetamina ATS,0.43
2018,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Oba spola,Stimulansi tipa amfetamina ATS,0.48
2019,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Oba spola,Stimulansi tipa amfetamina ATS,0.49
2022,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Oba spola,Stimulansi tipa amfetamina ATS,0.49
2022,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Žene,Stimulansi tipa amfetamina ATS,0.35
2022,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Muškarci,Stimulansi tipa amfetamina ATS,2.52
2017,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Oba spola,Kokain,0.54
2018,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Oba spola,Kokain,0.54
2019,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Oba spola,Kokain,0.55
2022,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Oba spola,Kokain,2.35
2022,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Žene,Kokain,0.9
2022,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Muškarci,Kokain,3.1
2015,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Oba spola,"Ukupno droga (uključujući ATS, opioide, kokain, kanabis i druge droge)",3.5
2019,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Oba spola,"Ukupno droga (uključujući ATS, opioide, kokain, kanabis i druge droge)",4.4
2022,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Oba spola,"Ukupno droga (uključujući ATS, opioide, kokain, kanabis i druge droge)",5.4
2022,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Žene,"Ukupno droga (uključujući ATS, opioide, kokain, kanabis i druge droge)",1.4
2022,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Muškarci,"Ukupno droga (uključujući ATS, opioide, kokain, kanabis i druge droge)",8.1
2019,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Oba spola,Opijati,13.7
2022,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Oba spola,Opijati,16.1
2022,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Žene,Opijati,4.2
2022,"Obuhvat intervencija liječenja (farmakološke, psihosocijalne i usluge rehabilitacije i naknadne njege) za poremećaje upotrebe supstanci (%)",Postotak,,Muškarci,Opijati,23.3
