Year,SERIES,UNIT_MEASURE,Spol,Zanimanje,Value
2014,Gustina zdravstvenih radnika prema vrsti zanimanja (na 10.000 stanovnika),Na 10 000 stanovnika,,Doktori medicine,20.8
2015,Gustina zdravstvenih radnika prema vrsti zanimanja (na 10.000 stanovnika),Na 10 000 stanovnika,,Doktori medicine,21.03
2014,Gustina zdravstvenih radnika prema vrsti zanimanja (na 10.000 stanovnika),Na 10 000 stanovnika,,Farmaceuti,1.24
2015,Gustina zdravstvenih radnika prema vrsti zanimanja (na 10.000 stanovnika),Na 10 000 stanovnika,,Farmaceuti,1.26
2014,Gustina zdravstvenih radnika prema vrsti zanimanja (na 10.000 stanovnika),Na 10 000 stanovnika,,Medicinsko osoblje i babice,59.79
2015,Gustina zdravstvenih radnika prema vrsti zanimanja (na 10.000 stanovnika),Na 10 000 stanovnika,,Medicinsko osoblje i babice,60.13
2016,Gustina zdravstvenih radnika prema vrsti zanimanja (na 10.000 stanovnika),Na 10 000 stanovnika,,Medicinsko osoblje i babice,53.24
2017,Gustina zdravstvenih radnika prema vrsti zanimanja (na 10.000 stanovnika),Na 10 000 stanovnika,,Medicinsko osoblje i babice,54.22
2018,Gustina zdravstvenih radnika prema vrsti zanimanja (na 10.000 stanovnika),Na 10 000 stanovnika,,Medicinsko osoblje i babice,56.05
2014,Gustina zdravstvenih radnika prema vrsti zanimanja (na 10.000 stanovnika),Na 10 000 stanovnika,,Zubari,2.31
2015,Gustina zdravstvenih radnika prema vrsti zanimanja (na 10.000 stanovnika),Na 10 000 stanovnika,,Zubari,2.34
2014,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Medicinsko osoblje i babice,78.2
2015,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Medicinsko osoblje i babice,78.6
2016,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Medicinsko osoblje i babice,78.2
2017,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Medicinsko osoblje i babice,77.7
2018,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Medicinsko osoblje i babice,77.5
2014,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Medicinsko osoblje i babice,21.8
2015,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Medicinsko osoblje i babice,21.4
2016,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Medicinsko osoblje i babice,21.8
2017,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Medicinsko osoblje i babice,22.3
2018,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Medicinsko osoblje i babice,22.5
2015,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Doktori medicine,87.7
2015,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Doktori medicine,12.3
