Year,SERIES,UNIT_MEASURE,Razina obrazovanja,Spol,COMPOSITE_BREAKDOWN,Value
2018,Udio djece i mladih koja postižu najmanju minimalnu razinu dostignuća u čitanju i  matematici,Postotak,Niže srednje obrazovanje,Oba spola,Matematika,42.44
2018,Udio djece i mladih koja postižu najmanju minimalnu razinu dostignuća u čitanju i  matematici,Postotak,Niže srednje obrazovanje,Oba spola,Čitanje,46.32
2018,Udio djece i mladih koja postižu najmanju minimalnu razinu dostignuća u čitanju i  matematici,Postotak,Niže srednje obrazovanje,Muškarci,Čitanje,38.29
2018,Udio djece i mladih koja postižu najmanju minimalnu razinu dostignuća u čitanju i  matematici,Postotak,Niže srednje obrazovanje,Žene,Čitanje,54.77
2019,Udio djece i mladih koja postižu najmanju minimalnu razinu dostignuća u čitanju i  matematici,Postotak,Osnovno obrazovanje,Žene,Matematika,36.47
2023,Udio djece i mladih koja postižu najmanju minimalnu razinu dostignuća u čitanju i  matematici,Postotak,Osnovno obrazovanje,Žene,Matematika,35.92
2019,Udio djece i mladih koja postižu najmanju minimalnu razinu dostignuća u čitanju i  matematici,Postotak,Osnovno obrazovanje,Muškarci,Matematika,42.57
2023,Udio djece i mladih koja postižu najmanju minimalnu razinu dostignuća u čitanju i  matematici,Postotak,Osnovno obrazovanje,Muškarci,Matematika,39.23
2019,Udio djece i mladih koja postižu najmanju minimalnu razinu dostignuća u čitanju i  matematici,Postotak,Osnovno obrazovanje,Oba spola,Matematika,39.55
2023,Udio djece i mladih koja postižu najmanju minimalnu razinu dostignuća u čitanju i  matematici,Postotak,Osnovno obrazovanje,Oba spola,Matematika,37.59
