Year,SERIES,UNIT_MEASURE,Razina obrazovanja,Kvantil dohotka ili bogatstva,Spol,Stupanj urbanizacije,Value
2014,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,98.0
2015,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,98.0
2016,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,98.0
2014,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,98.0
2015,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,98.0
2016,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,98.0
2014,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,98.0
2015,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,98.0
2016,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Niže srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,98.0
2014,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,100.0
2015,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,100.0
2016,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,100.0
2014,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,100.0
2015,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,100.0
2016,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,100.0
2014,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,100.0
2015,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,100.0
2016,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Osnovno obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,100.0
2014,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,60.0
2015,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,61.0
2016,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola ili bez podjele po spolu,Ukupno,62.0
2014,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,65.0
2015,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,66.0
2016,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Ukupno,66.0
2014,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,55.0
2015,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,56.0
2016,"Stopa završetka studija prema spolu, lokaciji, kvintilu bogatstva i razini obrazovanja (%)",Postotak,Više srednje obrazovanje,Ukupno (nacionalni prosjek) ili bez podjele,Muškarci,Ukupno,56.0
