Year,SERIES,UNIT_MEASURE,Value
2006,DC_TOF_SCHIPSL,Američki dolar,0.4
2007,DC_TOF_SCHIPSL,Američki dolar,0.3
2008,DC_TOF_SCHIPSL,Američki dolar,0.9
2009,DC_TOF_SCHIPSL,Američki dolar,0.9
2010,DC_TOF_SCHIPSL,Američki dolar,1.2
2011,DC_TOF_SCHIPSL,Američki dolar,1.4
2012,DC_TOF_SCHIPSL,Američki dolar,1.6
2013,DC_TOF_SCHIPSL,Američki dolar,2.0
2014,DC_TOF_SCHIPSL,Američki dolar,1.9
2015,DC_TOF_SCHIPSL,Američki dolar,2.1
2016,DC_TOF_SCHIPSL,Američki dolar,1.7
2017,DC_TOF_SCHIPSL,Američki dolar,2.7
2018,DC_TOF_SCHIPSL,Američki dolar,4.0
2019,DC_TOF_SCHIPSL,Američki dolar,5.0
