Year,SERIES,UNIT_MEASURE,Stupanj urbanizacije,Value
2000,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,87.47
2001,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,87.56
2002,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,87.65
2003,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,87.74
2004,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,87.83
2005,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,87.91
2006,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.0
2007,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.09
2008,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.18
2009,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.26
2010,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.34
2011,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.43
2012,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.51
2013,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.59
2014,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.67
2015,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.74
2016,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.76
2017,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.86
2018,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.86
2019,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.74
2020,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,88.15
2021,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,87.56
2022,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,86.98
2023,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,86.4
2024,"Udio stanovništva koji koristi usluge sigurnog upravljanja pitkom vodom, po urbanim / ruralnim područjima (%)",Postotak,Sva područja,86.4
