Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Value
2001, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Industrije,0.11
2006, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Industrije,0.22
2007, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Industrije,0.26
2010, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Industrije,0.31
2011, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Industrije,0.4
2012, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Industrije,0.49
2013, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Industrije,0.51
2014, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Industrije,0.41
2015, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Industrije,0.41
2016, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Industrije,0.44
2017, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Industrije,0.44
2018, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Industrije,0.41
2019, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Industrije,0.27
2001, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Usluge (G do T),2.37
2006, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Usluge (G do T),2.31
2007, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Usluge (G do T),2.33
2010, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Usluge (G do T),2.58
2011, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Usluge (G do T),2.42
2012, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Usluge (G do T),2.42
2013, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Usluge (G do T),2.39
2014, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Usluge (G do T),2.33
2015, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Usluge (G do T),2.37
2016, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Usluge (G do T),2.34
2017, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Usluge (G do T),2.22
2018, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Usluge (G do T),1.66
2019, Razina vodenog stresa: povlačenje slatke vode kao udio raspoloživih slatkovodnih resursa,Postotak,Usluge (G do T),1.76
