Year,SERIES,UNIT_MEASURE,Stupanj odstupanja,Value
2017,EN_LKW_QLTRST,Postotak,Ekstreman (75-100%),0.0
2018,EN_LKW_QLTRST,Postotak,Ekstreman (75-100%),0.0
2019,EN_LKW_QLTRST,Postotak,Ekstreman (75-100%),0.15333
2017,EN_LKW_QLTRST,Postotak,Visok (50-75%),0.67917
2018,EN_LKW_QLTRST,Postotak,Visok (50-75%),4.905
2019,EN_LKW_QLTRST,Postotak,Visok (50-75%),6.71
2017,EN_LKW_QLTRST,Postotak,Nizak (0-25%),85.98667
2018,EN_LKW_QLTRST,Postotak,Nizak (0-25%),87.80667
2019,EN_LKW_QLTRST,Postotak,Nizak (0-25%),83.95833
2017,EN_LKW_QLTRST,Postotak,Srednji (25-50%),13.33583
2018,EN_LKW_QLTRST,Postotak,Srednji (25-50%),7.29
2019,EN_LKW_QLTRST,Postotak,Srednji (25-50%),9.1775
2017,EN_LKW_QLTRB,Postotak,Ekstreman (75-100%),27.795
2018,EN_LKW_QLTRB,Postotak,Ekstreman (75-100%),12.555
2019,EN_LKW_QLTRB,Postotak,Ekstreman (75-100%),19.4
2017,EN_LKW_QLTRB,Postotak,Visok (50-75%),21.5425
2018,EN_LKW_QLTRB,Postotak,Visok (50-75%),14.00083
2019,EN_LKW_QLTRB,Postotak,Visok (50-75%),18.70667
2017,EN_LKW_QLTRB,Postotak,Nizak (0-25%),44.11667
2018,EN_LKW_QLTRB,Postotak,Nizak (0-25%),60.21333
2019,EN_LKW_QLTRB,Postotak,Nizak (0-25%),42.66917
2017,EN_LKW_QLTRB,Postotak,Srednji (25-50%),6.54667
2018,EN_LKW_QLTRB,Postotak,Srednji (25-50%),13.235
2019,EN_LKW_QLTRB,Postotak,Srednji (25-50%),19.22083
2000,EN_LKRV_PWAP,Postotak,,0.00037
2001,EN_LKRV_PWAP,Postotak,,0.00072
2002,EN_LKRV_PWAP,Postotak,,0.00112
2003,EN_LKRV_PWAP,Postotak,,0.00151
2004,EN_LKRV_PWAP,Postotak,,0.00184
2005,EN_LKRV_PWAP,Postotak,,0.00184
2006,EN_LKRV_PWAP,Postotak,,0.00188
2007,EN_LKRV_PWAP,Postotak,,0.00187
2008,EN_LKRV_PWAP,Postotak,,0.00183
2009,EN_LKRV_PWAP,Postotak,,0.00184
2010,EN_LKRV_PWAP,Postotak,,0.00183
2011,EN_LKRV_PWAP,Postotak,,0.0018
2012,EN_LKRV_PWAP,Postotak,,0.00177
2013,EN_LKRV_PWAP,Postotak,,0.00176
2014,EN_LKRV_PWAP,Postotak,,0.0018
2015,EN_LKRV_PWAP,Postotak,,0.00185
2016,EN_LKRV_PWAP,Postotak,,0.00188
2017,EN_LKRV_PWAP,Postotak,,0.00192
2018,EN_LKRV_PWAP,Postotak,,0.00195
2019,EN_LKRV_PWAP,Postotak,,0.00197
2020,EN_LKRV_PWAP,Postotak,,0.00194
2000,EN_LKRV_PWAN,Kvadratnih kilometara,,18.934
2001,EN_LKRV_PWAN,Kvadratnih kilometara,,37.102
2002,EN_LKRV_PWAN,Kvadratnih kilometara,,57.12
2003,EN_LKRV_PWAN,Kvadratnih kilometara,,77.174
2004,EN_LKRV_PWAN,Kvadratnih kilometara,,94.06
2005,EN_LKRV_PWAN,Kvadratnih kilometara,,93.986
2006,EN_LKRV_PWAN,Kvadratnih kilometara,,96.046
2007,EN_LKRV_PWAN,Kvadratnih kilometara,,95.884
2008,EN_LKRV_PWAN,Kvadratnih kilometara,,93.71
2009,EN_LKRV_PWAN,Kvadratnih kilometara,,94.102
2010,EN_LKRV_PWAN,Kvadratnih kilometara,,93.636
2011,EN_LKRV_PWAN,Kvadratnih kilometara,,92.258
2012,EN_LKRV_PWAN,Kvadratnih kilometara,,90.824
2013,EN_LKRV_PWAN,Kvadratnih kilometara,,90.308
2014,EN_LKRV_PWAN,Kvadratnih kilometara,,92.242
2015,EN_LKRV_PWAN,Kvadratnih kilometara,,94.748
2016,EN_LKRV_PWAN,Kvadratnih kilometara,,96.156
2017,EN_LKRV_PWAN,Kvadratnih kilometara,,98.06
2018,EN_LKRV_PWAN,Kvadratnih kilometara,,100.028
2019,EN_LKRV_PWAN,Kvadratnih kilometara,,100.992
2020,EN_LKRV_PWAN,Kvadratnih kilometara,,99.354
2006,EN_LKRV_PWAC,Postotak,,2.19182
2007,EN_LKRV_PWAC,Postotak,,2.01945
2008,EN_LKRV_PWAC,Postotak,,-0.29366
2009,EN_LKRV_PWAC,Postotak,,0.12342
2010,EN_LKRV_PWAC,Postotak,,-0.3724
2011,EN_LKRV_PWAC,Postotak,,-1.83857
2012,EN_LKRV_PWAC,Postotak,,-3.36433
2013,EN_LKRV_PWAC,Postotak,,-3.91335
2014,EN_LKRV_PWAC,Postotak,,-1.8556
2015,EN_LKRV_PWAC,Postotak,,0.81076
2016,EN_LKRV_PWAC,Postotak,,2.30885
2017,EN_LKRV_PWAC,Postotak,,4.33469
2018,EN_LKRV_PWAC,Postotak,,6.42862
2019,EN_LKRV_PWAC,Postotak,,7.4543
2020,EN_LKRV_PWAC,Postotak,,5.71149
2000,EN_LKRV_SWAP,Postotak,,9e-05
2001,EN_LKRV_SWAP,Postotak,,0.00031
2002,EN_LKRV_SWAP,Postotak,,0.00073
2003,EN_LKRV_SWAP,Postotak,,0.001
2004,EN_LKRV_SWAP,Postotak,,0.00123
2005,EN_LKRV_SWAP,Postotak,,0.00159
