Year,SERIES,UNIT_MEASURE,Spol,Zanimanje,Value
2010,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Sva zanimanja,3.9
2011,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Sva zanimanja,3.9
2012,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Sva zanimanja,3.9
2013,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Sva zanimanja,1.0
2014,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Sva zanimanja,4.2
2015,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Sva zanimanja,4.1
2016,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Sva zanimanja,4.1
2017,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Sva zanimanja,4.2
2018,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Sva zanimanja,4.3
2019,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Sva zanimanja,4.6
2010,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,5.0
2011,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,5.1
2012,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,4.7
2013,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,4.6
2014,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,5.4
2015,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,4.6
2016,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,5.3
2017,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,5.0
2018,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,5.7
2019,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Zanimanja oružanih snaga,5.3
2010,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Menadžeri,6.2
2011,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Menadžeri,6.9
2012,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Menadžeri,6.8
2013,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Menadžeri,7.5
2014,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Menadžeri,7.3
2015,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Menadžeri,7.5
2016,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Menadžeri,7.5
2017,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Menadžeri,6.6
2018,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Menadžeri,6.7
2019,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Menadžeri,8.6
2010,SL_EMP_AEARN,CUR_NAC,Oba spola ili bez podjele po spolu,Profesionalci,6.2
