Year,SERIES,UNIT_MEASURE,Value
2000,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,133.7724
2001,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,147.8452
2002,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,72.7173
2003,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,64.6831
2004,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,170.4325
2005,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,112.7301
2006,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,59.2272
2007,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,47.2187
2008,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,118.6058
2009,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,308.0722
2010,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,392.644
2011,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,394.1465
2012,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,493.5463
2013,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,494.1474
2014,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,439.3786
2015,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,323.455
2016,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,350.0751
2017,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,284.5322
2018,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,283.2673
2019,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,393.4609
2020,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,546.5588
2021,"Ukupni zvanični tokovi za infrastrukturu, prema zemljama primateljima (milioni američkih dolara konstanta 2020.)",Konstantni američki dolari,494.2503
