Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Value
2010,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti,Postotak,Proizvodnja,13.7
2011,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti,Postotak,Proizvodnja,15.58
2012,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti,Postotak,Proizvodnja,17.36
2013,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti,Postotak,Proizvodnja,16.42
2014,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti,Postotak,Proizvodnja,17.48
2015,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti,Postotak,Proizvodnja,18.65
2016,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti,Postotak,Proizvodnja,18.2
2017,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti,Postotak,Proizvodnja,18.61
2018,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti,Postotak,Proizvodnja,19.54
2019,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti,Postotak,Proizvodnja,18.31
2020,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti,Postotak,Proizvodnja,18.67
2021,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti,Postotak,Proizvodnja,16.59
2022,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti,Postotak,Proizvodnja,19.54
2023,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti,Postotak,Proizvodnja,21.54
