Year,SERIES,UNIT_MEASURE,Value
2000,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,60.0
2001,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,80.0
2002,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,90.0
2003,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,93.0
2004,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,95.0
2005,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,97.0
2006,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,99.0
2007,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,99.0
2008,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,99.3
2009,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,99.5
2010,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,99.7
2011,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,99.7
2012,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,99.8
2013,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,99.8
2014,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,99.8
2015,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,100.0
2016,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,100.0
2017,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,100.0
2018,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,100.0
2019,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,100.0
2020,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,100.0
2021,Udio stanovništva pokriven najmanje 2G mobilnom mrežom,Postotak,100.0
2009,Udio stanovništva pokriven najmanje 3G mobilnom mrežom,Postotak,25.0
2010,Udio stanovništva pokriven najmanje 3G mobilnom mrežom,Postotak,60.0
2011,Udio stanovništva pokriven najmanje 3G mobilnom mrežom,Postotak,70.0
2012,Udio stanovništva pokriven najmanje 3G mobilnom mrežom,Postotak,72.0
2013,Udio stanovništva pokriven najmanje 3G mobilnom mrežom,Postotak,90.0
2014,Udio stanovništva pokriven najmanje 3G mobilnom mrežom,Postotak,95.0
2015,Udio stanovništva pokriven najmanje 3G mobilnom mrežom,Postotak,95.0
2016,Udio stanovništva pokriven najmanje 3G mobilnom mrežom,Postotak,95.0
2017,Udio stanovništva pokriven najmanje 3G mobilnom mrežom,Postotak,95.0
2018,Udio stanovništva pokriven najmanje 3G mobilnom mrežom,Postotak,95.0
2019,Udio stanovništva pokriven najmanje 3G mobilnom mrežom,Postotak,95.0
2020,Udio stanovništva pokriven najmanje 3G mobilnom mrežom,Postotak,95.0
2021,Udio stanovništva pokriven najmanje 3G mobilnom mrežom,Postotak,97.0
2014,Udio stanovništva pokriven najmanje 4G mobilnom mrežom,Postotak,0.0
2015,Udio stanovništva pokriven najmanje 4G mobilnom mrežom,Postotak,0.0
2016,Udio stanovništva pokriven najmanje 4G mobilnom mrežom,Postotak,0.0
2017,Udio stanovništva pokriven najmanje 4G mobilnom mrežom,Postotak,0.0
2018,Udio stanovništva pokriven najmanje 4G mobilnom mrežom,Postotak,0.0
2019,Udio stanovništva pokriven najmanje 4G mobilnom mrežom,Postotak,82.0
2020,Udio stanovništva pokriven najmanje 4G mobilnom mrežom,Postotak,82.0
2021,Udio stanovništva pokriven najmanje 4G mobilnom mrežom,Postotak,93.0
