Year,UNIT_MEASURE,Tip,Value
1)2019 Siječanj,u tisućama KM,Izvoz,856 376
2)2019 Veljača,u tisućama KM,Izvoz,926443
3)2019 Ožujak,u tisućama KM,Izvoz,989133
4)2019 Travanj,u tisućama KM,Izvoz,1034867
5)2019 Svibanj,u tisućama KM,Izvoz,1028163
6)2019 Lipanj,u tisućama KM,Izvoz,995601
7)2019 Srpanj,u tisućama KM,Izvoz,1005663
8)2019 Kolovoz,u tisućama KM,Izvoz,844904
9)2019 Rujan,u tisućama KM,Izvoz,983719
1)2019 Siječanj,u tisućama KM,Uvoz,1292899
2)2019 Veljača,u tisućama KM,Uvoz,1549613
3)2019 Ožujak,u tisućama KM,Uvoz,1772859
4)2019 Travanj,u tisućama KM,Uvoz,1750450
5)2019 Svibanj,u tisućama KM,Uvoz,1809099
6)2019 Lipanj,u tisućama KM,Uvoz,1608480
7)2019 Srpanj,u tisućama KM,Uvoz,1745495
8)2019 Kolovoz,u tisućama KM,Uvoz,1526382
9)2019 Rujan,u tisućama KM,Uvoz,1572606
13)2020 Siječanj,u tisućama KM,Izvoz,855977
14)2020 Veljača,u tisućama KM,Izvoz,923256
15)2020 Ožujak,u tisućama KM,Izvoz,848386
16)2020 Travanj,u tisućama KM,Izvoz,696198
17)2020 Svibanj,u tisućama KM,Izvoz,736613
18)2020 Lipanj,u tisućama KM,Izvoz,888104
19)2020 Srpanj,u tisućama KM,Izvoz,874153
20)2020 Kolovoz,u tisućama KM,Izvoz,775220
21)2020 Rujan,u tisućama KM,Izvoz,977148
13)2020 Siječanj,u tisućama KM,Uvoz,1235871
14)2020 Veljača,u tisućama KM,Uvoz,1567515
15)2020 Ožujak,u tisućama KM,Uvoz,1483047
16)2020 Travanj,u tisućama KM,Uvoz,1133427
17)2020 Svibanj,u tisućama KM,Uvoz,1183197
18)2020 Lipanj,u tisućama KM,Uvoz,1416588
19)2020 Srpanj,u tisućama KM,Uvoz,1511289
20)2020 Kolovoz,u tisućama KM,Uvoz,1306882
21)2020 Rujan,u tisućama KM,Uvoz,1483216
