Year,UNIT_MEASURE,Tip,Value
a)Siječanj,GWh,Raspoloživo za finalnu potrošnju 2019,1241
b)Veljača,GWh,Raspoloživo za finalnu potrošnju 2019,1031
c)Ožujak,GWh,Raspoloživo za finalnu potrošnju 2019,1066
d)Travanj,GWh,Raspoloživo za finalnu potrošnju 2019,993
e)Svibanj,GWh,Raspoloživo za finalnu potrošnju 2019,1002
f)Lipanj,GWh,Raspoloživo za finalnu potrošnju 2019,965
g)Srpanj,GWh,Raspoloživo za finalnu potrošnju 2019,946
h)Kolovoz,GWh,Raspoloživo za finalnu potrošnju 2019,944
i)Rujan,GWh,Raspoloživo za finalnu potrošnju 2019,880
j)Listopad,GWh,Raspoloživo za finalnu potrošnju 2019,957
k)Studeni,GWh,Raspoloživo za finalnu potrošnju 2019,966
l)Prosinac,GWh,Raspoloživo za finalnu potrošnju 2019,1114
a)Siječanj,GWh,Raspoloživo za finalnu potrošnju 2020,1137
b)Veljača,GWh,Raspoloživo za finalnu potrošnju 2020,976
c)Ožujak,GWh,Raspoloživo za finalnu potrošnju 2020,931
d)Travanj,GWh,Raspoloživo za finalnu potrošnju 2020,828
e)Svibanj,GWh,Raspoloživo za finalnu potrošnju 2020,808
f)Lipanj,GWh,Raspoloživo za finalnu potrošnju 2020,812
g)Srpanj,GWh,Raspoloživo za finalnu potrošnju 2020,890
h)Kolovoz,GWh,Raspoloživo za finalnu potrošnju 2020,848
i)Rujan,GWh,Raspoloživo za finalnu potrošnju 2020,848
j)Listopad,GWh,Raspoloživo za finalnu potrošnju 2020,927
k)Studeni,GWh,Raspoloživo za finalnu potrošnju 2020,1020
l)Prosinac,GWh,Raspoloživo za finalnu potrošnju 2020,1094
a)Siječanj,GWh,Raspoloživo za finalnu potrošnju 2021,1086
b)Veljača,GWh,Raspoloživo za finalnu potrošnju 2021,963
