Year,UNIT_MEASURE,Tip,Value
 Q1, %,Nedesezonirani podaci Q/Q-4,2.7
 Q2, %,Nedesezonirani podaci Q/Q-4,3.2
 Q3, %,Nedesezonirani podaci Q/Q-4,3.4
 Q4, %,Nedesezonirani podaci Q/Q-4,1.9
 Q1, %,Nedesezonirani podaci Q/Q-4,2.3
 Q2, %,Nedesezonirani podaci Q/Q-4,-9.0
 Q3, %,Nedesezonirani podaci Q/Q-4,-6.3
 Q4, %,Nedesezonirani podaci Q/Q-4,-3.8
 Q1, %,Desezonirani podaci Q/Q-1,0.4
 Q2, %,Desezonirani podaci Q/Q-1,0.8
 Q3, %,Desezonirani podaci Q/Q-1,0.9
 Q4, %,Desezonirani podaci Q/Q-1,0.2
 Q1, %,Desezonirani podaci Q/Q-1,0.5
 Q2, %,Desezonirani podaci Q/Q-1,-10.6
 Q3, %,Desezonirani podaci Q/Q-1,4.1
 Q4, %,Desezonirani podaci Q/Q-1,3.0
 Q1, %,Finalni trend Q/Q-1,0.7
 Q2, %,Finalni trend Q/Q-1,0.7
 Q3, %,Finalni trend Q/Q-1,0.6
 Q4, %,Finalni trend Q/Q-1,0.6
 Q1, %,Finalni trend Q/Q-1,0.6
 Q2, %,Finalni trend Q/Q-1,0.6
 Q3, %,Finalni trend Q/Q-1,0.6
 Q4, %,Finalni trend Q/Q-1,0.6
