Year,UNIT_MEASURE,Tip,Value
a)Siječanj,NUMBER,Zaposleni 2019,823455
b)Veljača,NUMBER,Zaposleni 2019,819410
c)Ožujak,NUMBER,Zaposleni 2019,822275
d)Travanj,NUMBER,Zaposleni 2019,827121
e)Svibanj,NUMBER,Zaposleni 2019,829477
f)Lipanj,NUMBER,Zaposleni 2019,821124
g)Srpanj,NUMBER,Zaposleni 2019,821791
h)Kolovoz,NUMBER,Zaposleni 2019,816926
i)Rujan,NUMBER,Zaposleni 2019,822259
j)Listopad,NUMBER,Zaposleni 2019,825466
k)Studeni,NUMBER,Zaposleni 2019,831126
l)Prosinac,NUMBER,Zaposleni 2019,830383
a)Siječanj,NUMBER,Zaposleni 2020,833909
b)Veljača,NUMBER,Zaposleni 2020,832200
c)Ožujak,NUMBER,Zaposleni 2020,830421
d)Travanj,NUMBER,Zaposleni 2020,808894
e)Svibanj,NUMBER,Zaposleni 2020,808868
f)Lipanj,NUMBER,Zaposleni 2020,804028
g)Srpanj,NUMBER,Zaposleni 2020,803326
h)Kolovoz,NUMBER,Zaposleni 2020,799207
i)Rujan,NUMBER,Zaposleni 2020,806350
j)Listopad,NUMBER,Zaposleni 2020,807985
k)Studeni,NUMBER,Zaposleni 2020,814715
l)Prosinac,NUMBER,Zaposleni 2020,813942
a)Siječanj,NUMBER,Zaposleni 2021,809667
b)Veljača,NUMBER,Zaposleni 2021,808884
