Year,UNIT_MEASURE,TYPE,Value
a)Siječanj,Index,overall indeks 2019,100.1
b)Veljača,Index,overall indeks 2019,100.2
c)Ožujak,Index,overall indeks 2019,99.1
d)Travanj,Index,overall indeks 2019,100.4
e)Svibanj,Index,overall indeks 2019,100.2
f)Lipanj,Index,overall indeks 2019,99.2
g)Srpanj,Index,overall indeks 2019,100.4
h)Kolovoz,Index,overall indeks 2019,99.9
i)Rujan,Index,overall indeks 2019,99.5
a)Siječanj,Index,overall indeks 2020,99.9
b)Veljača,Index,overall indeks 2020,99.9
c)Ožujak,Index,overall indeks 2020,99.1
d)Travanj,Index,overall indeks 2020,99.9
e)Svibanj,Index,overall indeks 2020,99.9
f)Lipanj,Index,overall indeks 2020,99.5
g)Srpanj,Index,overall indeks 2020,100.2
h)Kolovoz,Index,overall indeks 2020,99.9
i)Rujan,Index,overall indeks 2020,100.3
a)Siječanj,Index,domestic market 2019,99.6
b)Veljača,Index,domestic market 2019,100.4
c)Ožujak,Index,domestic market 2019,98.2
d)Travanj,Index,domestic market 2019,101.0
e)Svibanj,Index,domestic market 2019,100.5
f)Lipanj,Index,domestic market 2019,99.0
g)Srpanj,Index,domestic market 2019,100.2
h)Kolovoz,Index,domestic market 2019,100.0
i)Rujan,Index,domestic market 2019,100.1
a)Siječanj,Index,domestic market 2020,100.0
b)Veljača,Index,domestic market 2020,100.0
c)Ožujak,Index,domestic market 2020,98.5
d)Travanj,Index,domestic market 2020,99.6
e)Svibanj,Index,domestic market 2020,99.7
f)Lipanj,Index,domestic market 2020,99.7
g)Srpanj,Index,domestic market 2020,100.0
h)Kolovoz,Index,domestic market 2020,99.9
i)Rujan,Index,domestic market 2020,100.3
a)Siječanj,Index,non-domestic market 2019,100.8
b)Veljača,Index,non-domestic market 2019,100.1
c)Ožujak,Index,non-domestic market 2019,100.6
d)Travanj,Index,non-domestic market 2019,99.5
e)Svibanj,Index,non-domestic market 2019,99.7
f)Lipanj,Index,non-domestic market 2019,99.4
g)Srpanj,Index,non-domestic market 2019,100.9
h)Kolovoz,Index,non-domestic market 2019,99.7
i)Rujan,Index,non-domestic market 2019,98.5
a)Siječanj,Index,non-domestic market 2020,99.9
b)Veljača,Index,non-domestic market 2020,99.8
c)Ožujak,Index,non-domestic market 2020,100.1
d)Travanj,Index,non-domestic market 2020,99.7
e)Svibanj,Index,non-domestic market 2020,100.2
f)Lipanj,Index,non-domestic market 2020,99.2
g)Srpanj,Index,non-domestic market 2020,100.4
h)Kolovoz,Index,non-domestic market 2020,100.0
i)Rujan,Index,non-domestic market 2020,100.4
