Year,UNIT_MEASURE,Tip,Value
a)Siječanj,Index,Ukupna trgovina na malo 2019,123.6
b)Veljača,Index,Ukupna trgovina na malo 2019,128.5
c)Ožujak,Index,Ukupna trgovina na malo 2019,128.8
d)Travanj,Index,Ukupna trgovina na malo 2019,126.2
e)Svibanj,Index,Ukupna trgovina na malo 2019,122.0
f)Lipanj,Index,Ukupna trgovina na malo 2019,128.6
g)Srpanj,Index,Ukupna trgovina na malo 2019,128.3
h)Kolovoz,Index,Ukupna trgovina na malo 2019,129.2
i)Rujan,Index,Ukupna trgovina na malo 2019,127.1
j)Listopad,Index,Ukupna trgovina na malo 2019,129.3
k)Studeni,Index,Ukupna trgovina na malo 2019,131.9
a)Siječanj,Index,Ukupna trgovina na malo 2020,133.7
b)Veljača,Index,Ukupna trgovina na malo 2020,137.5
c)Ožujak,Index,Ukupna trgovina na malo 2020,119.8
d)Travanj,Index,Ukupna trgovina na malo 2020,85.0
e)Svibanj,Index,Ukupna trgovina na malo 2020,111.7
f)Lipanj,Index,Ukupna trgovina na malo 2020,120.8
g)Srpanj,Index,Ukupna trgovina na malo 2020,114.0
h)Kolovoz,Index,Ukupna trgovina na malo 2020,111.1
i)Rujan,Index,Ukupna trgovina na malo 2020,120.8
j)Listopad,Index,Ukupna trgovina na malo 2020,119.6
k)Studeni,Index,Ukupna trgovina na malo 2020,120.7
