Year,Value,UNIT_MEASURE,SERIES
2015,0.0402,PT,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%)
2016,0.0473,PT,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%)
2017,0.074,PT,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%)
2018,0.0762,PT,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%)
2019,0.2181,PT,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%)
2020,0.0975,PT,Subvencije za fosilna goriva (potrošnja i proizvodnja) kao udio ukupnog BDP-a (%)
2015,0.0065,CU_USD_B,Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara)
2016,0.0079,CU_USD_B,Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara)
2017,0.0128,CU_USD_B,Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara)
2018,0.0173,CU_USD_B,Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara)
2019,0.0401,CU_USD_B,Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara)
2020,0.0154,CU_USD_B,Subvencije za fosilna goriva (potrošnja i proizvodnja) (milijarde nominalnih američkih dolara)
2015,1.9006,CU_USD,Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari)
2016,2.3362,CU_USD,Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari)
2017,3.8076,CU_USD,Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari)
2018,4.1058,CU_USD,Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari)
2019,12.1625,CU_USD,Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari)
2020,4.6957,CU_USD,Subvencije za fosilna goriva (potrošnja i proizvodnja) po glavi stanovnika (nominalni američki dolari)
