Year,Value,UNIT_MEASURE,SERIES
2010,807404829,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2011,909534613,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2012,828592009,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2013,867795096,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2014,1055825315,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2015,840479293,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2016,820185918,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2017,994149740,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2018,1106899767,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2019,1099211448,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2020,1135049964,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2021,1305165479,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2022,1420014541,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2023,1525228383,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2024,1518653121,(nominalni američki dolari),Ukupna trgovina praćena ekološkim prihvatljivim tehnologijama (tekući američki dolari)
2010,259121986,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2011,292867322,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2012,249659960,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2013,287045317,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2014,316051618,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2015,264719782,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2016,268504132,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2017,325846642,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2018,371773743,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2019,423096732,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2020,440116863,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2021,532174781,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2022,566383147,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2023,608733402,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2024,617290361,(nominalni američki dolari),Količina praćenih izvezenih tehnologija prihvatljivih za okoliš (tekući američki dolari)
2010,548282843,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
2011,616667292,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
2012,578932049,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
2013,580749777,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
2014,739773696,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
2015,575759510,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
2016,551681782,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
2017,668303000,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
2018,735125933,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
2019,676114612,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
2020,694933101,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
2021,772990698,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
2022,853631393,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
2023,916494981,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
2024,901362760,(nominalni američki dolari),Količina praćenih uvezenih tehnologija prihvatljivih za okoliš (tekućii američki dolari)
