Year,Value,UNIT_MEASURE,SERIES
2000,85,Postotak,SH_ACS_DTP3
2001,91,Postotak,SH_ACS_DTP3
2002,80,Postotak,SH_ACS_DTP3
2003,87,Postotak,SH_ACS_DTP3
2004,84,Postotak,SH_ACS_DTP3
2005,93,Postotak,SH_ACS_DTP3
2006,87,Postotak,SH_ACS_DTP3
2007,95,Postotak,SH_ACS_DTP3
2008,91,Postotak,SH_ACS_DTP3
2009,90,Postotak,SH_ACS_DTP3
2010,89,Postotak,SH_ACS_DTP3
2011,88,Postotak,SH_ACS_DTP3
2012,92,Postotak,SH_ACS_DTP3
2013,89,Postotak,SH_ACS_DTP3
2014,86,Postotak,SH_ACS_DTP3
2015,82,Postotak,SH_ACS_DTP3
2016,78,Postotak,SH_ACS_DTP3
2017,75,Postotak,SH_ACS_DTP3
2018,73,Postotak,SH_ACS_DTP3
2019,73,Postotak,SH_ACS_DTP3
2000,74,Postotak,SH_ACS_MCV2
2001,86,Postotak,SH_ACS_MCV2
2002,90,Postotak,SH_ACS_MCV2
2003,85,Postotak,SH_ACS_MCV2
2004,88,Postotak,SH_ACS_MCV2
2005,90,Postotak,SH_ACS_MCV2
2006,93,Postotak,SH_ACS_MCV2
2007,95,Postotak,SH_ACS_MCV2
2008,92,Postotak,SH_ACS_MCV2
2009,88,Postotak,SH_ACS_MCV2
2010,91,Postotak,SH_ACS_MCV2
2011,88,Postotak,SH_ACS_MCV2
2012,94,Postotak,SH_ACS_MCV2
2013,93,Postotak,SH_ACS_MCV2
2014,92,Postotak,SH_ACS_MCV2
2015,88,Postotak,SH_ACS_MCV2
2016,78,Postotak,SH_ACS_MCV2
2017,80,Postotak,SH_ACS_MCV2
2018,76,Postotak,SH_ACS_MCV2
2019,76,Postotak,SH_ACS_MCV2
2008,0,Postotak,SH_ACS_PCV3
2009,0,Postotak,SH_ACS_PCV3
2010,0,Postotak,SH_ACS_PCV3
2011,0,Postotak,SH_ACS_PCV3
2012,0,Postotak,SH_ACS_PCV3
2013,0,Postotak,SH_ACS_PCV3
2014,0,Postotak,SH_ACS_PCV3
2015,0,Postotak,SH_ACS_PCV3
2016,0,Postotak,SH_ACS_PCV3
2017,0,Postotak,SH_ACS_PCV3
2018,0,Postotak,SH_ACS_PCV3
2019,0,Postotak,SH_ACS_PCV3
