Year,SERIES,UNIT_MEASURE,Врста производа,Value
2005,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Пољопривредни производи,78.11705
2010,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Пољопривредни производи,86.55545
2015,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Пољопривредни производи,77.26098
2016,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Пољопривредни производи,72.09544
2017,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Пољопривредни производи,80.38654
2018,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Пољопривредни производи,80.10167
2019,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Пољопривредни производи,78.26421
2005,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Без подјеле,80.36611
2010,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Без подјеле,77.00822
2015,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Без подјеле,72.14442
2016,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Без подјеле,62.6327
2017,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Без подјеле,71.74151
2018,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Без подјеле,71.94006
2019,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Без подјеле,68.96074
2005,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Оружје,84.375
2010,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Оружје,100.0
2015,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Оружје,66.66667
2016,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Оружје,68.42105
2017,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Оружје,72.22222
2018,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Оружје,72.22222
2019,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Оружје,81.48148
2005,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Одјећа,49.75369
2010,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Одјећа,39.92188
2015,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Одјећа,42.10526
2016,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Одјећа,33.31467
2017,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Одјећа,44.23565
2018,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Одјећа,45.09502
2019,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Одјећа,41.31455
2005,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Индустријски производи,85.44423
2010,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Индустријски производи,82.15344
2015,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Индустријски производи,78.20907
2016,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Индустријски производи,69.63315
2017,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Индустријски производи,75.68703
2018,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Индустријски производи,75.75446
2019,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Индустријски производи,73.20584
2005,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Нафта или уље,0.0
2015,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Нафта или уље,100.0
2005,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Текстил,86.64921
2010,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Текстил,83.00971
2015,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Текстил,81.26195
2016,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Текстил,69.17808
2017,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Текстил,84.49477
2018,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Текстил,85.31469
2019,Пропорција царинских линија на увоз са нултом тарифом,Проценат,Текстил,77.11016
