Year,SERIES,UNIT_MEASURE,Ниво власти,Value
2019,GB_XPD_CULNAT_PB,Константни ППП амерички долари,Било који ниво власти,52.36392
2020,GB_XPD_CULNAT_PB,Константни ППП амерички долари,Било који ниво власти,46.83249
2021,GB_XPD_CULNAT_PB,Константни ППП амерички долари,Било који ниво власти,51.90584
2019,GB_XPD_CULNAT_PB,Константни ППП амерички долари,Локална управа,19.70345
2020,GB_XPD_CULNAT_PB,Константни ППП амерички долари,Локална управа,18.18337
2021,GB_XPD_CULNAT_PB,Константни ППП амерички долари,Локална управа,18.75471
2019,GB_XPD_CULNAT_PB,Константни ППП амерички долари,Национална власт,15.29726
2020,GB_XPD_CULNAT_PB,Константни ППП амерички долари,Национална власт,13.6866
2021,GB_XPD_CULNAT_PB,Константни ППП амерички долари,Национална власт,17.04023
2019,GB_XPD_CULNAT_PB,Константни ППП амерички долари,Ентитетска власт,17.36321
2020,GB_XPD_CULNAT_PB,Константни ППП амерички долари,Ентитетска власт,14.96252
2021,GB_XPD_CULNAT_PB,Константни ППП амерички долари,Ентитетска власт,16.1109
2019,GB_XPD_CULNAT_PV,Константни ППП амерички долари,Било који ниво власти,1.26728
2020,GB_XPD_CULNAT_PV,Константни ППП амерички долари,Било који ниво власти,3.91469
2021,GB_XPD_CULNAT_PV,Константни ППП амерички долари,Било који ниво власти,0.72513
2019,GB_XPD_CULNAT_PBPV,Константни ППП амерички долари,Било који ниво власти,53.6312
2020,GB_XPD_CULNAT_PBPV,Константни ППП амерички долари,Било који ниво власти,50.74718
2021,GB_XPD_CULNAT_PBPV,Константни ППП амерички долари,Било који ниво власти,52.63097
2019,GB_XPD_CUL_PBPV,Константни ППП амерички долари,Било који ниво власти,50.8496
2020,GB_XPD_CUL_PBPV,Константни ППП амерички долари,Било који ниво власти,47.78392
2021,GB_XPD_CUL_PBPV,Константни ППП амерички долари,Било који ниво власти,49.58025
2019,GB_XPD_NAT_PBPV,Константни ППП амерички долари,Било који ниво власти,2.7816
2020,GB_XPD_NAT_PBPV,Константни ППП амерички долари,Било који ниво власти,2.96325
2021,GB_XPD_NAT_PBPV,Константни ППП амерички долари,Било који ниво власти,3.05072
