Year,SERIES,UNIT_MEASURE,Врста третмана отпада,Привредна активност,Value
2014,Извоз опасног отпада,Тоне,,,0.0
2016,Произведени опасни отпад (тоне),Тоне,,,13292.0
2018,Произведени опасни отпад (тоне),Тоне,,,14157.0
2020,Произведени опасни отпад (тоне),Тоне,,,9942.0
2016,"Произведени опасни отпад, по становнику (Kg)",Килограми,,,3.9
2018,"Произведени опасни отпад, по становнику (Kg)",Килограми,,,3.8
2020,"Произведени опасни отпад, по становнику (Kg)",Килограми,,,2.9
2016,"Произведени опасни отпад, по јединици БДП-а",Килограми по константи америчког долара,,,0.0008
2014,Увоз опасног отпада,Тоне,,,0.0
2012,"Опасни отпад третиран, према врсти третмана",Тоне,Спаљивање,,0.0
2008,Прикупљени комунални отпад,Тоне,,,1367090.0
2009,Прикупљени комунални отпад,Тоне,,,1260060.0
2010,Прикупљени комунални отпад,Тоне,,,1057768.0
2011,Прикупљени комунални отпад,Тоне,,,1027006.0
2012,Прикупљени комунални отпад,Тоне,,,964121.0
2013,Прикупљени комунални отпад,Тоне,,,882049.0
2014,Прикупљени комунални отпад,Тоне,,,989546.0
2015,Прикупљени комунални отпад,Тоне,,,924051.0
2016,Прикупљени комунални отпад,Тоне,,,920478.0
2017,Прикупљени комунални отпад,Тоне,,,914232.0
2018,Прикупљени комунални отпад,Тоне,,,920540.0
2019,Прикупљени комунални отпад,Тоне,,,933455.0
2020,Прикупљени комунални отпад,Тоне,,,922844.0
2021,Прикупљени комунални отпад,Тоне,,,940405.0
2016,Stvoreni komunalni otpad,Тоне,,,1243889.0
2019,Stvoreni komunalni otpad,Тоне,,,1228309.0
2020,Stvoreni komunalni otpad,Тоне,,,1206147.0
2021,Stvoreni komunalni otpad,Тоне,,,1228916.0
2017,Обрађени комунални отпад према врсти обраде,Проценат,Одлагање на депоније,,99.47
2018,Обрађени комунални отпад према врсти обраде,Проценат,Одлагање на депоније,,98.91
2019,Обрађени комунални отпад према врсти обраде,Проценат,Одлагање на депоније,,95.93
2020,Обрађени комунални отпад према врсти обраде,Проценат,Одлагање на депоније,,98.91
2021,Обрађени комунални отпад према врсти обраде,Проценат,Одлагање на депоније,,99.32
2016,"Укупно стварање отпада, према ђелатностима",Тоне,,"Пољопривреда, шумарство и риболов",0.0
2018,"Укупно стварање отпада, према ђелатностима",Тоне,,"Пољопривреда, шумарство и риболов",0.0
2020,"Укупно стварање отпада, према ђелатностима",Тоне,,"Пољопривреда, шумарство и риболов",0.0
2016,"Укупно стварање отпада, према ђелатностима",Тоне,,Вађења руда и камена,216356.0
2018,"Укупно стварање отпада, према ђелатностима",Тоне,,Вађења руда и камена,23701.0
2020,"Укупно стварање отпада, према ђелатностима",Тоне,,Вађења руда и камена,765270.0
2016,"Укупно стварање отпада, према ђелатностима",Тоне,,Производња,1422448.0
2018,"Укупно стварање отпада, према ђелатностима",Тоне,,Производња,1893270.0
2020,"Укупно стварање отпада, према ђелатностима",Тоне,,Производња,1842260.0
2016,"Укупно стварање отпада, према ђелатностима",Тоне,,"Производња и снадбијевање електричном енергијом, плином, паром и климатизација",3061988.0
2018,"Укупно стварање отпада, према ђелатностима",Тоне,,"Производња и снадбијевање електричном енергијом, плином, паром и климатизација",3247689.0
2020,"Укупно стварање отпада, према ђелатностима",Тоне,,"Производња и снадбијевање електричном енергијом, плином, паром и климатизација",3129364.0
2016,"Укупно стварање отпада, према ђелатностима",Тоне,,Грађевинарство,156918.0
2018,"Укупно стварање отпада, према ђелатностима",Тоне,,Грађевинарство,122916.0
2020,"Укупно стварање отпада, према ђелатностима",Тоне,,Грађевинарство,85972.0
2016,"Укупно стварање отпада, према ђелатностима",Тоне,,ISIC4_T,
2018,"Укупно стварање отпада, према ђелатностима",Тоне,,ISIC4_T,
2020,"Укупно стварање отпада, према ђелатностима",Тоне,,ISIC4_T,
2016,"Укупно стварање отпада, према ђелатностима",Тоне,,Без пођеле,4857710.0
2018,"Укупно стварање отпада, према ђелатностима",Тоне,,Без пођеле,5287576.0
2020,"Укупно стварање отпада, према ђелатностима",Тоне,,Без пођеле,5822866.0
