Year,SERIES,Биоклиматски појас,Покривеност земљишта,UNIT_MEASURE,Value
2000,Индекс планинског зеленог покривача,Планински,Вјештачке површине,Проценат,0.83
2005,Индекс планинског зеленог покривача,Планински,Вјештачке површине,Проценат,0.91
2010,Индекс планинског зеленог покривача,Планински,Вјештачке површине,Проценат,0.94
2015,Индекс планинског зеленог покривача,Планински,Вјештачке површине,Проценат,0.95
2018,Индекс планинског зеленог покривача,Планински,Вјештачке површине,Проценат,0.96
2021,Индекс планинског зеленог покривача,Планински,Вјештачке површине,Проценат,0.97
2000,Индекс планинског зеленог покривача,Планински,Усјеви,Проценат,30.28
2005,Индекс планинског зеленог покривача,Планински,Усјеви,Проценат,28.33
2010,Индекс планинског зеленог покривача,Планински,Усјеви,Проценат,26.57
2015,Индекс планинског зеленог покривача,Планински,Усјеви,Проценат,25.89
2018,Индекс планинског зеленог покривача,Планински,Усјеви,Проценат,25.68
2021,Индекс планинског зеленог покривача,Планински,Усјеви,Проценат,25.86
2000,Индекс планинског зеленог покривача,Планински,Трајни снијег и глечери,Проценат,0.0
2005,Индекс планинског зеленог покривача,Планински,Трајни снијег и глечери,Проценат,0.0
2010,Индекс планинског зеленог покривача,Планински,Трајни снијег и глечери,Проценат,0.0
2015,Индекс планинског зеленог покривача,Планински,Трајни снијег и глечери,Проценат,0.0
2018,Индекс планинског зеленог покривача,Планински,Трајни снијег и глечери,Проценат,0.0
2021,Индекс планинског зеленог покривача,Планински,Трајни снијег и глечери,Проценат,0.0
2000,Индекс планинског зеленог покривача,Планински,Травнате површине,Проценат,7.23
2005,Индекс планинског зеленог покривача,Планински,Травнате површине,Проценат,8.38
2010,Индекс планинског зеленог покривача,Планински,Травнате површине,Проценат,8.22
2015,Индекс планинског зеленог покривача,Планински,Травнате површине,Проценат,8.03
2018,Индекс планинског зеленог покривача,Планински,Травнате површине,Проценат,8.04
2021,Индекс планинског зеленог покривача,Планински,Травнате површине,Проценат,8.05
2000,Индекс планинског зеленог покривача,Планински,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.06
2005,Индекс планинског зеленог покривача,Планински,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.06
2010,Индекс планинског зеленог покривача,Планински,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.06
2015,Индекс планинског зеленог покривача,Планински,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.06
2018,Индекс планинског зеленог покривача,Планински,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.06
2021,Индекс планинског зеленог покривача,Планински,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Проценат,0.06
2000,Индекс планинског зеленог покривача,Планински,Унутрашње водене површине,Проценат,0.49
2005,Индекс планинског зеленог покривача,Планински,Унутрашње водене површине,Проценат,0.47
