Year,SERIES,UNIT_MEASURE,Value
2002,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,0.76408
2003,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,0.3775
2004,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,4.52786
2005,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,0.6602
2006,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,1.836
2007,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,0.9378
2008,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,3.8267
2009,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,4.678
2010,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,13.3973
2011,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,1.2313
2012,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,2.9518
2013,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,1.2947
2014,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,1.6502
2015,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,0.8073
2016,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,4.4938
2017,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,20.5543
2018,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,12.5023
2019,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,19.5475
2020,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,9.9704
2021,"Укупна званична развојна помоћ за биодиверзитет, по земљама примаоцима (милиони америчких долара константа 2020.)",CON_USD,4.7039
