Year,SERIES,UNIT_MEASURE,Пол,Године,Value
2014,VC_HTF_DETVFL,Број,Жене,Испод 18 година,0
2015,VC_HTF_DETVFL,Број,Жене,Испод 18 година,0
2014,VC_HTF_DETVFL,Број,Мушкарци,Испод 18 година,0
2015,VC_HTF_DETVFL,Број,Мушкарци,Испод 18 година,0
2014,VC_HTF_DETVFL,Број,Жене,18 година и више,3
2015,VC_HTF_DETVFL,Број,Жене,18 година и више,0
2014,VC_HTF_DETVFL,Број,Мушкарци,18 година и више,0
2015,VC_HTF_DETVFL,Број,Мушкарци,18 година и више,0
2010,VC_HTF_DETVFL,Број,Жене,Сви старосни распони или нема подјеле по годинама,14
2011,VC_HTF_DETVFL,Број,Жене,Сви старосни распони или нема подјеле по годинама,4
2012,VC_HTF_DETVFL,Број,Жене,Сви старосни распони или нема подјеле по годинама,10
2014,VC_HTF_DETVFL,Број,Жене,Сви старосни распони или нема подјеле по годинама,3
2015,VC_HTF_DETVFL,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2010,VC_HTF_DETVFL,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,3
2011,VC_HTF_DETVFL,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,6
2012,VC_HTF_DETVFL,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,3
2014,VC_HTF_DETVFL,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2015,VC_HTF_DETVFL,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2005,VC_HTF_DETVOP,Број,Жене,Испод 18 година,0
2006,VC_HTF_DETVOP,Број,Жене,Испод 18 година,0
2007,VC_HTF_DETVOP,Број,Жене,Испод 18 година,0
2008,VC_HTF_DETVOP,Број,Жене,Испод 18 година,0
2009,VC_HTF_DETVOP,Број,Жене,Испод 18 година,0
2010,VC_HTF_DETVOP,Број,Жене,Испод 18 година,0
2011,VC_HTF_DETVOP,Број,Жене,Испод 18 година,0
2012,VC_HTF_DETVOP,Број,Жене,Испод 18 година,0
2014,VC_HTF_DETVOP,Број,Жене,Испод 18 година,18
2015,VC_HTF_DETVOP,Број,Жене,Испод 18 година,10
2005,VC_HTF_DETVOP,Број,Мушкарци,Испод 18 година,0
2006,VC_HTF_DETVOP,Број,Мушкарци,Испод 18 година,0
2007,VC_HTF_DETVOP,Број,Мушкарци,Испод 18 година,0
2008,VC_HTF_DETVOP,Број,Мушкарци,Испод 18 година,0
2009,VC_HTF_DETVOP,Број,Мушкарци,Испод 18 година,0
2010,VC_HTF_DETVOP,Број,Мушкарци,Испод 18 година,0
2011,VC_HTF_DETVOP,Број,Мушкарци,Испод 18 година,0
2012,VC_HTF_DETVOP,Број,Мушкарци,Испод 18 година,0
2014,VC_HTF_DETVOP,Број,Мушкарци,Испод 18 година,13
2015,VC_HTF_DETVOP,Број,Мушкарци,Испод 18 година,3
2005,VC_HTF_DETVOP,Број,Жене,18 година и више,0
2006,VC_HTF_DETVOP,Број,Жене,18 година и више,0
2007,VC_HTF_DETVOP,Број,Жене,18 година и више,0
2008,VC_HTF_DETVOP,Број,Жене,18 година и више,0
2009,VC_HTF_DETVOP,Број,Жене,18 година и више,0
2010,VC_HTF_DETVOP,Број,Жене,18 година и више,0
2011,VC_HTF_DETVOP,Број,Жене,18 година и више,0
2012,VC_HTF_DETVOP,Број,Жене,18 година и више,0
2014,VC_HTF_DETVOP,Број,Жене,18 година и више,4
2015,VC_HTF_DETVOP,Број,Жене,18 година и више,6
2005,VC_HTF_DETVOP,Број,Мушкарци,18 година и више,0
2006,VC_HTF_DETVOP,Број,Мушкарци,18 година и више,0
2007,VC_HTF_DETVOP,Број,Мушкарци,18 година и више,0
2008,VC_HTF_DETVOP,Број,Мушкарци,18 година и више,0
2009,VC_HTF_DETVOP,Број,Мушкарци,18 година и више,0
2010,VC_HTF_DETVOP,Број,Мушкарци,18 година и више,0
2011,VC_HTF_DETVOP,Број,Мушкарци,18 година и више,0
2012,VC_HTF_DETVOP,Број,Мушкарци,18 година и више,0
2014,VC_HTF_DETVOP,Број,Мушкарци,18 година и више,1
2015,VC_HTF_DETVOP,Број,Мушкарци,18 година и више,5
2005,VC_HTF_DETVOP,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,0
2006,VC_HTF_DETVOP,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,0
2007,VC_HTF_DETVOP,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,0
2008,VC_HTF_DETVOP,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,0
2009,VC_HTF_DETVOP,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,0
2010,VC_HTF_DETVOP,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,0
2011,VC_HTF_DETVOP,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,0
2012,VC_HTF_DETVOP,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,0
2014,VC_HTF_DETVOP,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,36
2015,VC_HTF_DETVOP,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,28
2016,VC_HTF_DETVOP,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,23
2005,VC_HTF_DETVOP,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2006,VC_HTF_DETVOP,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2007,VC_HTF_DETVOP,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2008,VC_HTF_DETVOP,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2009,VC_HTF_DETVOP,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2010,VC_HTF_DETVOP,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2011,VC_HTF_DETVOP,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2012,VC_HTF_DETVOP,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2014,VC_HTF_DETVOP,Број,Жене,Сви старосни распони или нема подјеле по годинама,22
2015,VC_HTF_DETVOP,Број,Жене,Сви старосни распони или нема подјеле по годинама,20
2005,VC_HTF_DETVOP,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2006,VC_HTF_DETVOP,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2007,VC_HTF_DETVOP,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2008,VC_HTF_DETVOP,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2009,VC_HTF_DETVOP,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2010,VC_HTF_DETVOP,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2011,VC_HTF_DETVOP,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2012,VC_HTF_DETVOP,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2014,VC_HTF_DETVOP,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,14
2015,VC_HTF_DETVOP,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,8
2005,VC_HTF_DETVOG,Број,Жене,Испод 18 година,0
2006,VC_HTF_DETVOG,Број,Жене,Испод 18 година,0
2007,VC_HTF_DETVOG,Број,Жене,Испод 18 година,0
2008,VC_HTF_DETVOG,Број,Жене,Испод 18 година,0
2009,VC_HTF_DETVOG,Број,Жене,Испод 18 година,0
2010,VC_HTF_DETVOG,Број,Жене,Испод 18 година,0
2011,VC_HTF_DETVOG,Број,Жене,Испод 18 година,0
2012,VC_HTF_DETVOG,Број,Жене,Испод 18 година,0
2014,VC_HTF_DETVOG,Број,Жене,Испод 18 година,0
2015,VC_HTF_DETVOG,Број,Жене,Испод 18 година,0
2016,VC_HTF_DETVOG,Број,Жене,Испод 18 година,0
2005,VC_HTF_DETVOG,Број,Мушкарци,Испод 18 година,0
2006,VC_HTF_DETVOG,Број,Мушкарци,Испод 18 година,0
2007,VC_HTF_DETVOG,Број,Мушкарци,Испод 18 година,0
2008,VC_HTF_DETVOG,Број,Мушкарци,Испод 18 година,0
2009,VC_HTF_DETVOG,Број,Мушкарци,Испод 18 година,0
2010,VC_HTF_DETVOG,Број,Мушкарци,Испод 18 година,0
2011,VC_HTF_DETVOG,Број,Мушкарци,Испод 18 година,0
2012,VC_HTF_DETVOG,Број,Мушкарци,Испод 18 година,0
2014,VC_HTF_DETVOG,Број,Мушкарци,Испод 18 година,0
2015,VC_HTF_DETVOG,Број,Мушкарци,Испод 18 година,0
2016,VC_HTF_DETVOG,Број,Мушкарци,Испод 18 година,0
2005,VC_HTF_DETVOG,Број,Жене,18 година и више,0
2006,VC_HTF_DETVOG,Број,Жене,18 година и више,0
2007,VC_HTF_DETVOG,Број,Жене,18 година и више,0
2008,VC_HTF_DETVOG,Број,Жене,18 година и више,0
2009,VC_HTF_DETVOG,Број,Жене,18 година и више,0
2010,VC_HTF_DETVOG,Број,Жене,18 година и више,0
2011,VC_HTF_DETVOG,Број,Жене,18 година и више,0
2012,VC_HTF_DETVOG,Број,Жене,18 година и више,0
2014,VC_HTF_DETVOG,Број,Жене,18 година и више,0
2015,VC_HTF_DETVOG,Број,Жене,18 година и више,0
2016,VC_HTF_DETVOG,Број,Жене,18 година и више,0
2005,VC_HTF_DETVOG,Број,Мушкарци,18 година и више,0
2006,VC_HTF_DETVOG,Број,Мушкарци,18 година и више,0
2007,VC_HTF_DETVOG,Број,Мушкарци,18 година и више,0
2008,VC_HTF_DETVOG,Број,Мушкарци,18 година и више,0
2009,VC_HTF_DETVOG,Број,Мушкарци,18 година и више,0
2010,VC_HTF_DETVOG,Број,Мушкарци,18 година и више,0
2011,VC_HTF_DETVOG,Број,Мушкарци,18 година и више,0
2012,VC_HTF_DETVOG,Број,Мушкарци,18 година и више,0
2014,VC_HTF_DETVOG,Број,Мушкарци,18 година и више,0
2015,VC_HTF_DETVOG,Број,Мушкарци,18 година и више,0
2016,VC_HTF_DETVOG,Број,Мушкарци,18 година и више,0
2005,VC_HTF_DETVOG,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2006,VC_HTF_DETVOG,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2007,VC_HTF_DETVOG,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2008,VC_HTF_DETVOG,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2009,VC_HTF_DETVOG,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2010,VC_HTF_DETVOG,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2011,VC_HTF_DETVOG,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2012,VC_HTF_DETVOG,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2014,VC_HTF_DETVOG,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2015,VC_HTF_DETVOG,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2016,VC_HTF_DETVOG,Број,Жене,Сви старосни распони или нема подјеле по годинама,0
2005,VC_HTF_DETVOG,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2006,VC_HTF_DETVOG,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2007,VC_HTF_DETVOG,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2008,VC_HTF_DETVOG,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2009,VC_HTF_DETVOG,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2010,VC_HTF_DETVOG,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2011,VC_HTF_DETVOG,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2012,VC_HTF_DETVOG,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2014,VC_HTF_DETVOG,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2015,VC_HTF_DETVOG,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2016,VC_HTF_DETVOG,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2014,VC_HTF_DETVSX,Број,Жене,Испод 18 година,6
2014,VC_HTF_DETVSX,Број,Мушкарци,Испод 18 година,0
2015,VC_HTF_DETVSX,Број,Мушкарци,Испод 18 година,0
2016,VC_HTF_DETVSX,Број,Мушкарци,Испод 18 година,0
2014,VC_HTF_DETVSX,Број,Жене,18 година и више,4
2015,VC_HTF_DETVSX,Број,Жене,18 година и више,6
2016,VC_HTF_DETVSX,Број,Жене,18 година и више,7
2014,VC_HTF_DETVSX,Број,Мушкарци,18 година и више,0
2015,VC_HTF_DETVSX,Број,Мушкарци,18 година и више,0
2016,VC_HTF_DETVSX,Број,Мушкарци,18 година и више,0
2010,VC_HTF_DETVSX,Број,Жене,Сви старосни распони или нема подјеле по годинама,7
2011,VC_HTF_DETVSX,Број,Жене,Сви старосни распони или нема подјеле по годинама,17
2012,VC_HTF_DETVSX,Број,Жене,Сви старосни распони или нема подјеле по годинама,20
2014,VC_HTF_DETVSX,Број,Жене,Сви старосни распони или нема подјеле по годинама,10
2015,VC_HTF_DETVSX,Број,Жене,Сви старосни распони или нема подјеле по годинама,6
2016,VC_HTF_DETVSX,Број,Жене,Сви старосни распони или нема подјеле по годинама,7
2010,VC_HTF_DETVSX,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,1
2011,VC_HTF_DETVSX,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,1
2012,VC_HTF_DETVSX,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2014,VC_HTF_DETVSX,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2015,VC_HTF_DETVSX,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2016,VC_HTF_DETVSX,Број,Мушкарци,Сви старосни распони или нема подјеле по годинама,0
2005,VC_HTF_DETV,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,66
2006,VC_HTF_DETV,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,71
2007,VC_HTF_DETV,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,41
2008,VC_HTF_DETV,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,33
2009,VC_HTF_DETV,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,69
2010,VC_HTF_DETV,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,25
2011,VC_HTF_DETV,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,35
2012,VC_HTF_DETV,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,39
2014,VC_HTF_DETV,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,49
2015,VC_HTF_DETV,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,35
2016,VC_HTF_DETV,Број,Оба пола или без подјеле по полу,Сви старосни распони или нема подјеле по годинама,48
