Year,SERIES,UNIT_MEASURE,Врста производа,Value
2005,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Пољопривредни производи,15.79221
2010,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Пољопривредни производи,16.30277
2015,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Пољопривредни производи,15.82199
2016,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Пољопривредни производи,15.3037
2017,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Пољопривредни производи,15.00477
2018,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Пољопривредни производи,15.10976
2019,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Пољопривредни производи,16.01302
2020,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Пољопривредни производи,15.70981
2021,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Пољопривредни производи,16.51239
2005,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Без подјеле,7.91315
2010,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Без подјеле,7.54494
2015,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Без подјеле,7.88609
2016,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Без подјеле,7.67387
2017,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Без подјеле,7.75035
2018,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Без подјеле,8.00909
2019,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Без подјеле,7.73552
2020,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Без подјеле,8.41333
2021,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Без подјеле,7.97562
2005,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Оружје,14.28337
2019,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Оружје,9.8403
2020,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Оружје,11.63443
2021,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Оружје,11.76048
2005,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Одјећа,15.0
2010,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Одјећа,15.0
2015,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Одјећа,15.0
2016,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Одјећа,15.0
2017,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Одјећа,15.0
2018,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Одјећа,15.0
2019,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Одјећа,15.0
2020,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Одјећа,15.0
2021,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Одјећа,15.0
2005,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Индустријски производи,6.0594
2010,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Индустријски производи,5.6095
2015,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Индустријски производи,5.9615
2016,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Индустријски производи,5.7965
2017,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Индустријски производи,6.0263
2018,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Индустријски производи,6.027
2019,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Индустријски производи,5.641
2020,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Индустријски производи,6.3567
2021,"Свјетски пондерисани тарифни просјек, статус најповлашћеније државе, према врсти производа (%)",PT,Индустријски производи,5.8073
