Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2023,"Број земаља са шемом за промоцију спољних инвестиција која може користити земљама у развоју, укључујући најмање развијене земље (1 = ДА, 0 = НЕ)",Било која врста шеме OFDI,Број,0
2024,"Број земаља са шемом за промоцију спољних инвестиција која може користити земљама у развоју, укључујући најмање развијене земље (1 = ДА, 0 = НЕ)",Било која врста шеме OFDI,Број,0
2023,"Број земаља са шемом за промоцију спољних инвестиција која може користити земљама у развоју, укључујући најмање развијене земље (1 = ДА, 0 = НЕ)",Директно учешће капитала,Број,0
2024,"Број земаља са шемом за промоцију спољних инвестиција која може користити земљама у развоју, укључујући најмање развијене земље (1 = ДА, 0 = НЕ)",Директно учешће капитала,Број,0
2023,"Број земаља са шемом за промоцију спољних инвестиција која може користити земљама у развоју, укључујући најмање развијене земље (1 = ДА, 0 = НЕ)",Фискална / финансијска подршка,Број,0
2024,"Број земаља са шемом за промоцију спољних инвестиција која може користити земљама у развоју, укључујући најмање развијене земље (1 = ДА, 0 = НЕ)",Фискална / финансијска подршка,Број,0
2023,"Број земаља са шемом за промоцију спољних инвестиција која може користити земљама у развоју, укључујући најмање развијене земље (1 = ДА, 0 = НЕ)",Услуге олакшавања инвестиција,Број,0
2024,"Број земаља са шемом за промоцију спољних инвестиција која може користити земљама у развоју, укључујући најмање развијене земље (1 = ДА, 0 = НЕ)",Услуге олакшавања инвестиција,Број,0
2023,"Број земаља са шемом за промоцију спољних инвестиција која може користити земљама у развоју, укључујући најмање развијене земље (1 = ДА, 0 = НЕ)",Инвестиционе гаранције,Број,0
2024,"Број земаља са шемом за промоцију спољних инвестиција која може користити земљама у развоју, укључујући најмање развијене земље (1 = ДА, 0 = НЕ)",Инвестиционе гаранције,Број,0
