Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,IT_NET_BBND,На 100 становника,10 Mbit/s или више,0.13
2011,IT_NET_BBND,На 100 становника,10 Mbit/s или више,0.2
2012,IT_NET_BBND,На 100 становника,10 Mbit/s или више,0.22
2013,IT_NET_BBND,На 100 становника,10 Mbit/s или више,2.03
2014,IT_NET_BBND,На 100 становника,10 Mbit/s или више,2.7
2015,IT_NET_BBND,На 100 становника,10 Mbit/s или више,3.58
2016,IT_NET_BBND,На 100 становника,10 Mbit/s или више,5.78
2017,IT_NET_BBND,На 100 становника,10 Mbit/s или више,9.05
2018,IT_NET_BBND,На 100 становника,10 Mbit/s или више,9.76
2010,IT_NET_BBND,На 100 становника,256 kbit/s дo мање oд 2 Mbit/s,7.21
2011,IT_NET_BBND,На 100 становника,256 kbit/s дo мање oд 2 Mbit/s,3.59
2012,IT_NET_BBND,На 100 становника,256 kbit/s дo мање oд 2 Mbit/s,2.79
2013,IT_NET_BBND,На 100 становника,256 kbit/s дo мање oд 2 Mbit/s,2.37
2014,IT_NET_BBND,На 100 становника,256 kbit/s дo мање oд 2 Mbit/s,1.36
2015,IT_NET_BBND,На 100 становника,256 kbit/s дo мање oд 2 Mbit/s,0.94
2016,IT_NET_BBND,На 100 становника,256 kbit/s дo мање oд 2 Mbit/s,0.94
2017,IT_NET_BBND,На 100 становника,256 kbit/s дo мање oд 2 Mbit/s,0.82
2018,IT_NET_BBND,На 100 становника,256 kbit/s дo мање oд 2 Mbit/s,0.84
2010,IT_NET_BBND,На 100 становника,2 Mbit/s дo мање oд 10 Mbit/s,3.21
2011,IT_NET_BBND,На 100 становника,2 Mbit/s дo мање oд 10 Mbit/s,6.16
2012,IT_NET_BBND,На 100 становника,2 Mbit/s дo мање oд 10 Mbit/s,8.28
2013,IT_NET_BBND,На 100 становника,2 Mbit/s дo мање oд 10 Mbit/s,8.31
2014,IT_NET_BBND,На 100 становника,2 Mbit/s дo мање oд 10 Mbit/s,11.52
2015,IT_NET_BBND,На 100 становника,2 Mbit/s дo мање oд 10 Mbit/s,14.0
2016,IT_NET_BBND,На 100 становника,2 Mbit/s дo мање oд 10 Mbit/s,12.85
2017,IT_NET_BBND,На 100 становника,2 Mbit/s дo мање oд 10 Mbit/s,9.93
2018,IT_NET_BBND,На 100 становника,2 Mbit/s дo мање oд 10 Mbit/s,10.27
2000,IT_NET_BBND,На 100 становника,_T,0.0
2001,IT_NET_BBND,На 100 становника,_T,0.0
2002,IT_NET_BBND,На 100 становника,_T,0.01
2003,IT_NET_BBND,На 100 становника,_T,0.04
2004,IT_NET_BBND,На 100 становника,_T,0.18
2005,IT_NET_BBND,На 100 становника,_T,0.36
2006,IT_NET_BBND,На 100 становника,_T,1.06
2007,IT_NET_BBND,На 100 становника,_T,2.25
2008,IT_NET_BBND,На 100 становника,_T,5.02
2009,IT_NET_BBND,На 100 становника,_T,7.82
2010,IT_NET_BBND,На 100 становника,_T,10.55
2011,IT_NET_BBND,На 100 становника,_T,11.75
2012,IT_NET_BBND,На 100 становника,_T,13.02
2013,IT_NET_BBND,На 100 становника,_T,14.57
2014,IT_NET_BBND,На 100 становника,_T,15.58
2015,IT_NET_BBND,На 100 становника,_T,18.52
2016,IT_NET_BBND,На 100 становника,_T,19.56
2017,IT_NET_BBND,На 100 становника,_T,19.81
2018,IT_NET_BBND,На 100 становника,_T,20.87
2010,IT_NET_BBNDN,Број,10 Mbit/s или више,5000.0
2011,IT_NET_BBNDN,Број,10 Mbit/s или више,7298.0
2012,IT_NET_BBNDN,Број,10 Mbit/s или више,8054.0
2013,IT_NET_BBNDN,Број,10 Mbit/s или више,71925.0
2014,IT_NET_BBNDN,Број,10 Mbit/s или више,93970.0
2015,IT_NET_BBNDN,Број,10 Mbit/s или више,122666.0
2016,IT_NET_BBNDN,Број,10 Mbit/s или више,195585.0
