Year,SERIES,UNIT_MEASURE,Године,Value
2000,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,29.9
2001,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,28.2
2002,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,25.8
2003,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,23.2
2004,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,20.9
2005,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,19.3
2006,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,17.8
2007,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,17.2
2008,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,17.2
2009,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,17.2
2010,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,16.9
2011,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,17.3
2012,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,17.0
2013,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,16.3
2014,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,15.6
2015,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,15.1
2016,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,13.9
2017,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,13.3
2018,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,12.9
2019,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,12.6
2020,Дјеца умјерено или тешко заостала у развоју (број),Хиљаде,Испод 5 година,12.1
2000,Удио дјеце умјерено или озбиљно заостале у развоју,Проценат,Испод 5 година,12.12708
2006,Удио дјеце умјерено или озбиљно заостале у развоју,Проценат,Испод 5 година,11.813
2012,Удио дјеце умјерено или озбиљно заостале у развоју,Проценат,Испод 5 година,8.88656
