Year,SERIES,UNIT_MEASURE,Value
2000,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,
2001,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,
2002,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,
2003,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,
2004,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,
2005,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,
2006,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,
2007,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,
2008,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,
2009,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,
2010,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,16.505474
2011,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,18.44187
2012,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,
2013,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,
2014,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,
2015,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,12.063021
2016,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,8.586942
2017,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,10.609201
2018,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,15.479261
2019,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,21.715442
2020,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,19.55149
2021,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,21.74669
2022,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,14.751326
2023,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима (милиони америчких долара константа 2023.)",Милиони константни амерички долари,11.483927
