Year,SERIES,UNIT_MEASURE,Пол,Value
2000,Стопа смртности мајки,На 100.000 живорођених,Жене,
2001,Стопа смртности мајки,На 100.000 живорођених,Жене,
2002,Стопа смртности мајки,На 100.000 живорођених,Жене,
2003,Стопа смртности мајки,На 100.000 живорођених,Жене,
2004,Стопа смртности мајки,На 100.000 живорођених,Жене,
2005,Стопа смртности мајки,На 100.000 живорођених,Жене,
2006,Стопа смртности мајки,На 100.000 живорођених,Жене,
2007,Стопа смртности мајки,На 100.000 живорођених,Жене,
2008,Стопа смртности мајки,На 100.000 живорођених,Жене,
2009,Стопа смртности мајки,На 100.000 живорођених,Жене,
2010,Стопа смртности мајки,На 100.000 живорођених,Жене,7.54
2011,Стопа смртности мајки,На 100.000 живорођених,Жене,
2012,Стопа смртности мајки,На 100.000 живорођених,Жене,
2013,Стопа смртности мајки,На 100.000 живорођених,Жене,
2014,Стопа смртности мајки,На 100.000 живорођених,Жене,
2015,Стопа смртности мајки,На 100.000 живорођених,Жене,6.66
2016,Стопа смртности мајки,На 100.000 живорођених,Жене,6.53
2017,Стопа смртности мајки,На 100.000 живорођених,Жене,6.57
2018,Стопа смртности мајки,На 100.000 живорођених,Жене,6.81
2019,Стопа смртности мајки,На 100.000 живорођених,Жене,6.4
2020,Стопа смртности мајки,На 100.000 живорођених,Жене,6.41
2021,Стопа смртности мајки,На 100.000 живорођених,Жене,
2022,Стопа смртности мајки,На 100.000 живорођених,Жене,
2023,Стопа смртности мајки,На 100.000 живорођених,Жене,6.17
