Year,SERIES,UNIT_MEASURE,Пол,Value
2015,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,367.0
2019,Број смртних случајева самоубиством,Број,Оба пола или без подјеле по полу,361.0
2015,Број смртних случајева самоубиством,Број,Жене,81.0
2019,Број смртних случајева самоубиством,Број,Жене,76.0
2015,Број смртних случајева самоубиством,Број,Мушкарци,287.0
2019,Број смртних случајева самоубиством,Број,Мушкарци,285.0
2015,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,10.7
2019,Стопа самоубиствима,На 100.000 становника,Оба пола или без подјеле по полу,10.9
2015,Стопа самоубиствима,На 100.000 становника,Жене,4.6
2019,Стопа самоубиствима,На 100.000 становника,Жене,4.5
2015,Стопа самоубиствима,На 100.000 становника,Мушкарци,17.0
2019,Стопа самоубиствима,На 100.000 становника,Мушкарци,17.6
