Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2000,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,4.69667
2001,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,4.7911
2002,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,4.92717
2003,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,4.69667
2004,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,5.16427
2005,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,5.40879
2006,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,5.6915
2007,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,5.8936
2008,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,5.92371
2009,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,5.85432
2010,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,5.81671
2011,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,5.91309
2012,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,5.95229
2013,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,5.91443
2014,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,5.89975
2015,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,6.0781
2016,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,6.33673
2017,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,6.52126
2018,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,6.49118
2019,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,6.26801
2020,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,6.19734
2021,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,6.32886
2022,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Оба пола,6.32886
2000,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Жене,
2005,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Жене,
2010,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Жене,
2015,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Жене,
2019,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Жене,
2000,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Мушкарци,
2005,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Мушкарци,
2010,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Мушкарци,
2015,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Мушкарци,
2019,Потрошња алкохола по становнику (старости од 15 година и више) у календарској години (литара чистог алкохола),Литри,15 година и више,Мушкарци,
