Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2000,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Оба пола,46.3
2005,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Оба пола,43.9
2010,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Оба пола,41.9
2015,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Оба пола,40.0
2020,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Оба пола,38.2
2024,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Оба пола,37.1
2000,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Жене,34.2
2005,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Жене,33.6
2010,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Жене,32.6
2015,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Жене,32.0
2020,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Жене,31.5
2024,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Жене,31.2
2000,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Мушкарци,58.3
2005,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Мушкарци,54.3
2010,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Мушкарци,51.2
2015,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Мушкарци,48.0
2020,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Мушкарци,44.9
2022,Старосна стандардизована распрострањеност тренутне употребе дувана међу лицима старости 15 година и више,Проценат,15 година и више,Мушкарци,43.0
