Year,SERIES,UNIT_MEASURE,Пол,Занимање,Value
2000,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,13.12
2001,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2002,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2003,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2004,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2005,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,14.1
2006,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2007,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2008,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2009,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2010,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,17.49
2011,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2012,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2013,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2014,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2015,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,21.07
2016,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2017,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2018,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,
2019,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Доктори медицине,25.84
2000,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,0.91
2001,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2002,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2003,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2004,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2005,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,0.81
2006,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2007,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2008,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2009,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2010,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,0.97
2011,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2012,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2013,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2014,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2015,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,1.26
2016,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2017,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2018,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,
2019,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Фармацеути,1.38
2000,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,40.3
2001,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2002,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2003,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2004,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2005,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,44.75
2006,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2007,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2008,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2009,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2010,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,53.34
2011,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2012,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2013,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2014,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2015,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,60.23
2016,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2017,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2018,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,
2019,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,64.25
2020,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,64.01
2021,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Медицинско особље и бабице,66.44
2000,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,1.74
2001,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,1.62
2002,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,1.63
2003,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,1.1
2004,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,1.74
2005,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,1.76
2006,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,1.9
2007,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,1.87
2008,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,1.71
2009,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,1.75
2010,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,2.09
2011,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,2.16
2012,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,2.38
2013,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,2.24
2014,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,2.31
2015,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,2.34
2016,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,2.41
2017,"Расподјела здравствених радника, пo врсти занимања (на 10.000 становника)",На 10 000 становника,,Зубари,2.47
